Name ,Share price ,M Cap,Industry,Exchange
"TOKYO STEEL MANUFACTURING CO., LTD.",1929 JPY,145.88Cr,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
NIHON M&A CENTER HOLDINGS INC.,685.6 JPY,145.78Cr,Management Consulting Services,Tokyo Stock Exchange
"OSAKA SODA CO., LTD.",8200 JPY,145.73Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"AICA KOGYO COMPANY, LIMITED",3293 JPY,145.34Cr,Other Specialty Chemicals,Tokyo Stock Exchange
"NIPPON KAYAKU CO., LTD.",1273.5 JPY,144.8Cr,Diversified Chemicals,Tokyo Stock Exchange
"CREATE SD HOLDINGS CO., LTD.",3290 JPY,144.68Cr,Retail - Drugs with Grocery,Tokyo Stock Exchange
LINTEC CORPORATION,3035 JPY,144.48Cr,Adhesive & Epoxy,Tokyo Stock Exchange
"FUKUDA DENSHI CO., LTD.",7260 JPY,144.16Cr,Other Advanced Medical Equipment & Technology,Tokyo Stock Exchange
JUSTSYSTEMS CORPORATION,3265 JPY,143.35Cr,Other Software,Tokyo Stock Exchange
"TAKEUCHI MFG. CO., LTD.",4300 JPY,143.28Cr,Construction Machinery,Tokyo Stock Exchange
"HOKKAIDO ELECTRIC POWER COMPANY, INCORPORATED",1007 JPY,143.2Cr,Other Electric Utilities,Tokyo Stock Exchange
SHIFT INC.,12305 JPY,143.09Cr,Testing Services,Tokyo Stock Exchange
ASKUL CORPORATION,2172 JPY,142.06Cr,E-commerce & Auction Services,Tokyo Stock Exchange
T-GAIA CORPORATION,3770 JPY,141.87Cr,Mobile Phone Retailers,Tokyo Stock Exchange
"HANWA CO., LTD.",5050 JPY,141.82Cr,Metallic Rolling & Drawing Products,Tokyo Stock Exchange
USHIO INC.,2090 JPY,141.7Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
NIPRO CORPORATION,1270 JPY,141.69Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"MATSUI SECURITIES CO., LTD.",804 JPY,141.25Cr,Brokerage Services,Tokyo Stock Exchange
HOKURIKU ELECTRIC POWER COMPANY,1004.5 JPY,141.12Cr,Other Electric Utilities,Tokyo Stock Exchange
"HULIC REIT, INC.",142300 JPY,141.05Cr,Other Commercial REITs,Tokyo Stock Exchange
"THE SUMITOMO WAREHOUSE CO., LTD.",2626 JPY,140.44Cr,Integrated Logistics Operators,Tokyo Stock Exchange
"ALPS LOGISTICS CO., LTD.",5770 JPY,140.3Cr,Freight Trucking,Tokyo Stock Exchange
"THE SAN-IN GODO BANK,LTD.",1317 JPY,139.85Cr,Commercial Banks,Tokyo Stock Exchange
KANEMATSU CORPORATION,2411 JPY,139.49Cr,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
HEIWA CORPORATION,2064 JPY,139.41Cr,Golf Courses,Tokyo Stock Exchange
"SHIP HEALTHCARE HOLDINGS, INC.",2140.5 JPY,139.11Cr,Medical Equipment Wholesale,Tokyo Stock Exchange
TOKUYAMA CORPORATION,2811 JPY,139.04Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"KONICA MINOLTA, INC.",418.6 JPY,138.54Cr,Other Office Equipment,Tokyo Stock Exchange
OKINAWA CELLULAR TELEPHONE COMPANY,4180 JPY,137.96Cr,Other Wireless Telecommunications Services,Tokyo Stock Exchange
TV ASAHI HOLDINGS CORPORATION,1999 JPY,137.64Cr,Television Broadcasting,Tokyo Stock Exchange
CKD CORPORATION,2997 JPY,137.41Cr,Industrial Machinery,Tokyo Stock Exchange
"YOSHINOYA HOLDINGS CO., LTD.",3089 JPY,136.62Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"MODEC, INC.",2855 JPY,135.27Cr,Other Oil Related Services and Equipment,Tokyo Stock Exchange
"TAIYO HOLDINGS CO., LTD.",3565 JPY,135.21Cr,Other Specialty Chemicals,Tokyo Stock Exchange
TKC CORPORATION,3820 JPY,134.69Cr,Other Business Support Services,Tokyo Stock Exchange
"MANI, INC.",2003.5 JPY,134.58Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"MIXI, INC.",2788 JPY,133.95Cr,Internet Gaming,Tokyo Stock Exchange
MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORPORATION,386500 JPY,133.51Cr,Industrial REITs,Tokyo Stock Exchange
"FINANCIAL PARTNERS GROUP CO.,LTD.",2244 JPY,1.33B,Other Investment Management & Fund Operators,Tokyo Stock Exchange
FUJIMI INCORPORATED,2649 JPY,1.33B,Other Specialty Chemicals,Tokyo Stock Exchange
"AEON DELIGHT CO., LTD.",4040 JPY,1.33B,Other Business Support Services,Tokyo Stock Exchange
"RIKEN KEIKI CO., LTD.",4085 JPY,1.33B,Testing & Measuring Equipment,Tokyo Stock Exchange
FUJITSU GENERAL LIMITED,1881.5 JPY,1.32B,"Heating, Ventilation & Air Conditioning Systems",Tokyo Stock Exchange
EDION CORPORATION,1845 JPY,1.32B,Other Computer & Electronics Retailers,Tokyo Stock Exchange
"NOEVIR HOLDINGS CO., LTD.",5670 JPY,1.32B,Cosmetics & Perfumes,Tokyo Stock Exchange
"MITSUI HIGH-TEC, INC.",1021.5 JPY,1.31B,Other Semiconductors,Tokyo Stock Exchange
"NISHI-NIPPON RAILROAD CO., LTD.",2449 JPY,1.31B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"PAL GROUP HOLDINGS CO., LTD.",2262 JPY,1.31B,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
"DCM HOLDINGS CO., LTD.",1441 JPY,1.31B,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
"DENA CO., LTD.",1709 JPY,1.31B,Mobile Application Software,Tokyo Stock Exchange
OKUMA CORPORATION,6151 JPY,1.31B,Machine Tools,Tokyo Stock Exchange
DENKA COMPANY LIMITED,2219.5 JPY,1.31B,Other Commodity Chemicals,Tokyo Stock Exchange
OKAMURA CORPORATION,1995 JPY,1.31B,Other Business Support Supplies,Tokyo Stock Exchange
"MICRONICS JAPAN CO., LTD.",4930 JPY,1.3B,Other Semiconductor Equipment & Testing,Tokyo Stock Exchange
"TOKAI CARBON CO., LTD.",884.4 JPY,1.3B,Other Specialty Chemicals,Tokyo Stock Exchange
AIN HOLDINGS INC.,5383 JPY,1.29B,Retail - Drugs without Grocery,Tokyo Stock Exchange
"KYORITSU MAINTENANCE CO., LTD.",2417 JPY,1.29B,"Other Hotels, Motels & Cruise Lines",Tokyo Stock Exchange
"NISHIMATSU CONSTRUCTION CO., LTD.",4768 JPY,1.29B,Other Construction & Engineering,Tokyo Stock Exchange
"ARTIENCE CO., LTD.",3485 JPY,1.29B,Coloring Agent,Tokyo Stock Exchange
TOWA CORPORATION,7350 JPY,1.28B,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
PIGEON CORPORATION,1561.5 JPY,1.27B,Other Personal Products,Tokyo Stock Exchange
"TIMEE, INC.",2000 JPY,1.27B,Mobile Application Software,Tokyo Stock Exchange
MIRAIT ONE CORPORATION,2045 JPY,1.27B,Telecommunication Construction,Tokyo Stock Exchange
"JAPAN MATERIAL CO., LTD.",1780 JPY,1.27B,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
"ITOCHU ENEX CO.,LTD.",1624 JPY,1.26B,Petroleum Product Wholesale,Tokyo Stock Exchange
JVCKENWOOD CORPORATION,1239 JPY,1.25B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
HAZAMA ANDO CORPORATION,1151 JPY,1.24B,Other Construction & Engineering,Tokyo Stock Exchange
"INABATA & CO.,LTD.",3290 JPY,1.24B,Commodity Chemicals Wholesale,Tokyo Stock Exchange
"SMS CO., LTD.",2167.5 JPY,1.24B,Outsourcing & Staffing Services,Tokyo Stock Exchange
"PENTA-OCEAN CONSTRUCTION CO., LTD.",637.4 JPY,1.24B,Other Construction & Engineering,Tokyo Stock Exchange
"TOAGOSEI CO., LTD.",1575 JPY,1.23B,Other Commodity Chemicals,Tokyo Stock Exchange
OSG CORPORATION,2024 JPY,1.22B,Machine Tools,Tokyo Stock Exchange
TOSHIBA TEC CORPORATION,3405 JPY,1.22B,Other Office Equipment,Tokyo Stock Exchange
"DUSKIN CO., LTD.",3741 JPY,1.21B,Other Personal Services,Tokyo Stock Exchange
"MEGMILK SNOW BRAND CO.,LTD.",2635 JPY,1.2B,Dairy Products,Tokyo Stock Exchange
"MONEX GROUP, INC.",680 JPY,1.2B,Other Investment Banking & Brokerage Services,Tokyo Stock Exchange
"TAMRON CO.,LTD.",4415 JPY,1.2B,Photographic Equipment,Tokyo Stock Exchange
"SENKO GROUP HOLDINGS CO., LTD.",1170 JPY,1.2B,Integrated Logistics Operators,Tokyo Stock Exchange
"DAISEKI CO.,LTD.",3670 JPY,1.19B,"Waste Management, Disposal & Recycling Services",Tokyo Stock Exchange
NIPPN CORPORATION,2225 JPY,1.19B,Flour Milling,Tokyo Stock Exchange
LEOPALACE21 CORPORATION,552 JPY,1.19B,Other Real Estate Development & Operations,Tokyo Stock Exchange
"NORTH PACIFIC BANK,LTD.",438 JPY,1.18B,Other Banks,Tokyo Stock Exchange
DTS CORPORATION,4095 JPY,1.18B,Other IT Services & Consulting,Tokyo Stock Exchange
"DAIICHIKOSHO CO., LTD.",1639.5 JPY,1.18B,Entertainment Production Equipment & Services,Tokyo Stock Exchange
CHUDENKO CORPORATION,3170 JPY,1.18B,Other Construction & Engineering,Tokyo Stock Exchange
NTT UD REIT INVESTMENT CORPORATION,115900 JPY,1.18B,Diversified REITs,Tokyo Stock Exchange
SEIKO GROUP CORPORATION,4185 JPY,1.18B,Watches,Tokyo Stock Exchange
"SANKEN ELECTRIC CO., LTD.",7045 JPY,1.18B,Other Semiconductors,Tokyo Stock Exchange
"C.UYEMURA & CO.,LTD.",10670 JPY,1.16B,Other Commodity Chemicals,Tokyo Stock Exchange
"YONEX CO., LTD.",1927 JPY,1.16B,Sporting & Outdoor Goods,Tokyo Stock Exchange
"RIZAP GROUP, INC.",284 JPY,1.16B,Other Personal Products,Tokyo Stock Exchange
"FUJI CO., LTD.",1960 JPY,1.16B,Supermarkets & Convenience Stores,Tokyo Stock Exchange
OKUMURA CORPORATION,4555 JPY,1.16B,Other Construction & Engineering,Tokyo Stock Exchange
ICHIGO INC.,379 JPY,1.15B,Other Real Estate Development & Operations,Tokyo Stock Exchange
"THE SHIGA BANK, LTD.",3505 JPY,1.15B,Other Banks,Tokyo Stock Exchange
"KOMERI CO.,LTD.",3560 JPY,1.15B,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
LIFE CORPORATION,3610 JPY,1.15B,Supermarkets & Convenience Stores,Tokyo Stock Exchange
SANGETSU CORPORATION,2856 JPY,1.15B,Home Furnishings Wholesale,Tokyo Stock Exchange
M&A RESEARCH INSTITUTE HOLDINGS INC.,2869 JPY,1.15B,Brokerage Services,Tokyo Stock Exchange
"TOKAI RIKA CO., LTD.",1980 JPY,1.14B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"JAPAN SECURITIES FINANCE CO., LTD.",1999 JPY,1.14B,Commercial Loans,Tokyo Stock Exchange
"MAX CO., LTD.",3595 JPY,1.14B,Machine Tools,Tokyo Stock Exchange
"YODOGAWA STEEL WORKS, LTD.",5640 JPY,1.14B,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
ORIENT CORPORATION,961 JPY,1.13B,Personal & Car Loans,Tokyo Stock Exchange
OPEN UP GROUP INC.,1898 JPY,1.13B,Outsourcing & Staffing Services,Tokyo Stock Exchange
"ICHIBANYA CO., LTD.",1039 JPY,1.13B,Other Restaurants & Bars,Tokyo Stock Exchange
PILOT CORPORATION,4259 JPY,1.13B,Office Supplies,Tokyo Stock Exchange
"JAPAN EXCELLENT, INC.",122700 JPY,1.13B,Office REITs,Tokyo Stock Exchange
STARTS CORPORATION INC.,3315 JPY,1.12B,Other Real Estate Services,Tokyo Stock Exchange
TOPCON CORPORATION,1590 JPY,1.12B,Testing & Measuring Equipment,Tokyo Stock Exchange
"GUNGHO ONLINE ENTERTAINMENT, INC.",2985.5 JPY,1.12B,Internet Gaming,Tokyo Stock Exchange
"THE NISSHIN OILLIO GROUP,LTD.",4995 JPY,1.12B,"Starch, Vegetable Fat & Oil Manufacturing",Tokyo Stock Exchange
"COLOWIDE CO.,LTD.",1858.5 JPY,1.12B,Other Restaurants & Bars,Tokyo Stock Exchange
AIFUL CORPORATION,333 JPY,1.11B,Other Consumer Lending,Tokyo Stock Exchange
"JAPAN AVIATION ELECTRONICS INDUSTRY, LIMITED",2441 JPY,1.11B,Electronic Component,Tokyo Stock Exchange
"JUROKU FINANCIAL GROUP,INC.",4335 JPY,1.11B,Other Banks,Tokyo Stock Exchange
JAPAN DISPLAY INC.,25 JPY,1.11B,Display Screens,Tokyo Stock Exchange
NOJIMA CORPORATION,1678 JPY,1.1B,Other Computer & Electronics Retailers,Tokyo Stock Exchange
"DAIKOKUTENBUSSAN CO.,LTD.",11710 JPY,1.1B,Other Food Retail & Distribution,Tokyo Stock Exchange
"ADASTRIA CO., LTD.",3540 JPY,1.09B,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
GENDA INC.,2299 JPY,1.09B,Other Leisure & Recreation,Tokyo Stock Exchange
"RICOH LEASING COMPANY, LTD.",5120 JPY,1.09B,Other Corporate Financial Services,Tokyo Stock Exchange
"HEIWA REAL ESTATE REIT, INC.",132100 JPY,1.08B,Diversified REITs,Tokyo Stock Exchange
"NEXTAGE CO., LTD.",2000 JPY,1.08B,"Other Auto Vehicles, Parts & Service Retailers",Tokyo Stock Exchange
MARUHA NICHIRO CORPORATION,3114 JPY,1.08B,Other Fishing & Farming,Tokyo Stock Exchange
"KISSEI PHARMACEUTICAL CO., LTD.",3515 JPY,1.07B,Specialty & Advanced Pharmaceuticals,Tokyo Stock Exchange
DAIHEN CORPORATION,6430 JPY,1.07B,Other Heavy Electrical Equipment,Tokyo Stock Exchange
FREEE K.K.,2760 JPY,1.07B,Other Software,Tokyo Stock Exchange
"KAKEN PHARMACEUTICAL CO., LTD.",4101 JPY,1.07B,Other Pharmaceuticals,Tokyo Stock Exchange
MEIDENSHA CORPORATION,3340 JPY,1.07B,Other Heavy Electrical Equipment,Tokyo Stock Exchange
DIP CORPORATION,2893 JPY,1.06B,Online Job Portals,Tokyo Stock Exchange
"FUKUYAMA TRANSPORTING CO., LTD.",3750 JPY,1.06B,Other Ground Freight & Logistics,Tokyo Stock Exchange
TAIKISHA LTD.,4695 JPY,1.06B,Industrial Plant,Tokyo Stock Exchange
HITACHI ZOSEN CORPORATION,927 JPY,1.05B,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
ANRITSU CORPORATION,1173.5 JPY,1.05B,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"APPIER GROUP, INC.",1572 JPY,1.05B,Other IT Services & Consulting,Tokyo Stock Exchange
NISSHINBO HOLDINGS INC.,979 JPY,1.05B,Consumer Goods Conglomerates,Tokyo Stock Exchange
TOKEN CORPORATION,11350 JPY,1.05B,Other Homebuilding,Tokyo Stock Exchange
"SAN-A CO.,LTD.",4940 JPY,1.05B,Other Food Retail & Distribution,Tokyo Stock Exchange
KUREHA CORPORATION,2845 JPY,1.05B,Other Commodity Chemicals,Tokyo Stock Exchange
FUTURE CORPORATION,1741 JPY,1.04B,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"OKAYA & CO., LTD.",15710 JPY,1.04B,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
AZ-COM MARUWA HOLDINGS INC.,1128 JPY,1.04B,Other Ground Freight & Logistics,Tokyo Stock Exchange
SAKATA SEED CORPORATION,3430 JPY,1.03B,Commercial Nurseries,Tokyo Stock Exchange
"NXERA PHARMA CO., LTD.",1726 JPY,1.03B,Biopharmaceuticals,Tokyo Stock Exchange
"THE HYAKUGO BANK, LTD.",585 JPY,1.03B,Commercial Banks,Tokyo Stock Exchange
"KURA SUSHI,INC.",3810 JPY,1.02B,Quick Service Restaurants,Tokyo Stock Exchange
TRUSCO NAKAYAMA CORPORATION,2242 JPY,1.02B,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"ARIAKE JAPAN CO., LTD.",4720 JPY,1.02B,Food Ingredients,Tokyo Stock Exchange
"TOKYU REIT, INC.",151800 JPY,1.02B,Diversified REITs,Tokyo Stock Exchange
"HOSHINO RESORTS REIT, INC.",503000 JPY,1.02B,Hospitality REITs,Tokyo Stock Exchange
"PARAMOUNT BED HOLDINGS CO., LTD.",2574 JPY,1.02B,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"H.U. GROUP HOLDINGS, INC.",2646.5 JPY,1.01B,Medical & Diagnostic Laboratories,Tokyo Stock Exchange
OHSHO FOOD SERVICE CORP.,7880 JPY,1.01B,Other Restaurants & Bars,Tokyo Stock Exchange
SUMITOMO RIKO COMPANY LIMITED,1420 JPY,1.01B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
NIPPON REIT INVESTMENT CORPORATION,323500 JPY,1B,Diversified REITs,Tokyo Stock Exchange
ANYCOLOR INC.,2463 JPY,1B,Other Entertainment Production,Tokyo Stock Exchange
MITANI CORPORATION,1670 JPY,999M,Construction Material Wholesale,Tokyo Stock Exchange
"FUJI KYUKO CO., LTD.",2800 JPY,998M,Other Leisure & Recreation,Tokyo Stock Exchange
"KFC HOLDINGS JAPAN, LTD.",6490 JPY,996M,Quick Service Restaurants,Tokyo Stock Exchange
SWCC CORPORATION,4880 JPY,994M,Wires & Cables,Tokyo Stock Exchange
"FUSO CHEMICAL CO.,LTD.",4090 JPY,992M,Other Commodity Chemicals,Tokyo Stock Exchange
"NISHIMATSUYA CHAIN CO., LTD.",2509 JPY,991M,Children & Infants Clothing Retailers,Tokyo Stock Exchange
"KUMAGAI GUMI CO.,LTD.",3370 JPY,991M,Civil Engineers & Architects,Tokyo Stock Exchange
DAIO PAPER CORPORATION,871 JPY,985M,Other Paper Products,Tokyo Stock Exchange
"NORITSU KOKI CO., LTD.",4070 JPY,983M,Other Recreational Products,Tokyo Stock Exchange
"RYOYO RYOSAN HOLDINGS, INC.",2683 JPY,983M,Semiconductor Wholesale,Tokyo Stock Exchange
ATOM CORPORATION,731 JPY,983M,Other Restaurants & Bars,Tokyo Stock Exchange
PHC HOLDINGS CORPORATION,1149 JPY,978M,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"KASUMIGASEKI CAPITAL CO.,LTD.",15380 JPY,977M,Other Real Estate Services,Tokyo Stock Exchange
"KATITAS CO., LTD.",1825 JPY,977M,Residential Real Estate Services,Tokyo Stock Exchange
"MITSUBISHI LOGISNEXT CO., LTD.",1351 JPY,975M,Heavy Trucks,Tokyo Stock Exchange
GLORY LTD.,2576 JPY,974M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
NTN CORPORATION,265.3 JPY,974M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"NIHON PARKERIZING CO., LTD.",1208 JPY,966M,Other Commodity Chemicals,Tokyo Stock Exchange
SYSTENA CORPORATION,389 JPY,960M,Other IT Services & Consulting,Tokyo Stock Exchange
"MEIKO ELECTRONICS CO., LTD.",5550 JPY,960M,Integrated Circuits,Tokyo Stock Exchange
LIFENET INSURANCE COMPANY,1776 JPY,959M,Other Life & Health Insurance,Tokyo Stock Exchange
SAKURA INTERNET INC.,3645 JPY,958M,Content & Site Management Services,Tokyo Stock Exchange
SUN CORPORATION,6830 JPY,958M,Other Communications & Networking,Tokyo Stock Exchange
"TOWA PHARMACEUTICAL CO., LTD.",2800 JPY,952M,Other Pharmaceuticals,Tokyo Stock Exchange
"SIMPLEX HOLDINGS, INC.",2394 JPY,951M,Other IT Services & Consulting,Tokyo Stock Exchange
"NIPPON SODA CO., LTD.",5000 JPY,949M,Diversified Chemicals,Tokyo Stock Exchange
"ARE HOLDINGS, INC.",1825 JPY,947M,Other Environmental Services & Equipment,Tokyo Stock Exchange
"SHOCHIKU CO., LTD.",10055 JPY,946M,"Movie, TV Production & Distribution",Tokyo Stock Exchange
"JACCS CO., LTD.",3960 JPY,941M,Other Consumer Lending,Tokyo Stock Exchange
ARCS COMPANY LIMITED,2575 JPY,937M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"TOKYO KIRABOSHI FINANCIAL GROUP, INC.",4460 JPY,933M,Other Banks,Tokyo Stock Exchange
"KAGA ELECTRONICS CO.,LTD.",5190 JPY,931M,Electronic Component,Tokyo Stock Exchange
"HEIWA REAL ESTATE CO., LTD.",4075 JPY,930M,Office Real Estate Development,Tokyo Stock Exchange
OKASAN SECURITIES GROUP INC.,649 JPY,930M,Investment Banking,Tokyo Stock Exchange
"TOKAI TOKYO FINANCIAL HOLDINGS, INC.",536 JPY,927M,Other Investment Banking & Brokerage Services,Tokyo Stock Exchange
"MCJ CO., LTD.",1398 JPY,925M,Other Computer Hardware,Tokyo Stock Exchange
"MUSASHI SEIMITSU INDUSTRY CO., LTD.",2075 JPY,924M,Engine & Powertrain Systems,Tokyo Stock Exchange
"NISSAN SHATAI CO., LTD.",975 JPY,921M,Automobiles & Multi Utility Vehicles,Tokyo Stock Exchange
"DIGITAL GARAGE, INC.",2942 JPY,921M,Other IT Services & Consulting,Tokyo Stock Exchange
"MITSUI-SOKO HOLDINGS CO., LTD.",5540 JPY,919M,Integrated Logistics Operators,Tokyo Stock Exchange
"MAKINO MILLING MACHINE CO., LTD.",5690 JPY,916M,Machine Tools,Tokyo Stock Exchange
"TOYO CONSTRUCTION CO., LTD.",1418 JPY,913M,Other Construction & Engineering,Tokyo Stock Exchange
"IINO KAIUN KAISHA, LTD.",1278 JPY,912M,Deep Sea Freight,Tokyo Stock Exchange
"SUMITOMO OSAKA CEMENT CO., LTD.",3949 JPY,908M,Other Construction Materials,Tokyo Stock Exchange
EXEDY CORPORATION,2957 JPY,899M,Engine & Powertrain Systems,Tokyo Stock Exchange
"KATO SANGYO CO., LTD.",4250 JPY,898M,Food Wholesale,Tokyo Stock Exchange
"H.I.S. CO., LTD.",1751 JPY,895M,Travel Agents,Tokyo Stock Exchange
ICHIGO OFFICE REIT INVESTMENT CORPORATION,83900 JPY,891M,Office REITs,Tokyo Stock Exchange
"JOYFUL HONDA CO.,LTD.",2135 JPY,891M,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
"KONOIKE TRANSPORT CO.,LTD.",2381 JPY,885M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"MITSUBISHI PENCIL CO., LTD.",2220 JPY,885M,Office Supplies,Tokyo Stock Exchange
NOHMI BOSAI LTD.,2204 JPY,882M,Office Equipment Rental,Tokyo Stock Exchange
"T. HASEGAWA CO., LTD.",3160 JPY,882M,Other Commodity Chemicals,Tokyo Stock Exchange
STAR ASIA INVESTMENT CORPORATION,54300 JPY,881M,Diversified REITs,Tokyo Stock Exchange
"SAN-AI OBBLI CO., LTD.",2007 JPY,880M,Petroleum Product Wholesale,Tokyo Stock Exchange
TOKAI HOLDINGS CORPORATION,986 JPY,877M,Petroleum Product Wholesale,Tokyo Stock Exchange
"BELC CO., LTD.",6110 JPY,873M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"DAI-DAN CO., LTD.",2916 JPY,871M,Other Construction & Engineering,Tokyo Stock Exchange
AEON HOKKAIDO CORPORATION,921 JPY,871M,Retail - Department Stores,Tokyo Stock Exchange
"TAKUMA CO., LTD.",1588 JPY,870M,Other Environmental Services & Equipment,Tokyo Stock Exchange
TAKARA BIO INC.,1076 JPY,870M,Other Biotechnology & Medical Research,Tokyo Stock Exchange
PRESSANCE CORPORATION,1844 JPY,869M,Residential Real Estate Development,Tokyo Stock Exchange
"SEIREN CO.,LTD.",2311 JPY,869M,Automotive Accessories,Tokyo Stock Exchange
INTEGRAL CORPORATION,3865 JPY,867M,Other Investment Management & Fund Operators,Tokyo Stock Exchange
TADANO LTD.,982.9 JPY,861M,Construction Machinery,Tokyo Stock Exchange
"SUMITOMO DENSETSU CO.,LTD.",3530 JPY,859M,Other Construction & Engineering,Tokyo Stock Exchange
TRANSCOSMOS INC.,3355 JPY,856M,Other Business Support Services,Tokyo Stock Exchange
FUKUOKA REIT CORPORATION,155300 JPY,849M,Other Commercial REITs,Tokyo Stock Exchange
"TOYO TANSO CO., LTD.",6000 JPY,848M,Electrical Component,Tokyo Stock Exchange
"CHILLED & FROZEN LOGISTICS HOLDINGS CO., LTD.",5720 JPY,848M,Other Ground Freight & Logistics,Tokyo Stock Exchange
"SAMTY HOLDINGS CO., LTD.",2629 JPY,846M,Other Real Estate Development & Operations,Tokyo Stock Exchange
"SHIN-ETSU POLYMER CO.,LTD.",1535 JPY,846M,Other Commodity Chemicals,Tokyo Stock Exchange
NICHIHA CORPORATION,3525 JPY,843M,Construction Supplies,Tokyo Stock Exchange
"AICHI FINANCIAL GROUP, INC.",2467 JPY,843M,Other Banks,Tokyo Stock Exchange
"HEIWADO CO.,LTD.",2420 JPY,841M,Supermarkets & Convenience Stores,Tokyo Stock Exchange
YAMAZEN CORPORATION,1397 JPY,836M,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"KOMEDA HOLDINGS CO., LTD.",2664 JPY,833M,Cafés,Tokyo Stock Exchange
"BUNKA SHUTTER CO., LTD.",1706 JPY,832M,Doors & Window Frames,Tokyo Stock Exchange
AI HOLDINGS CORPORATION,2574 JPY,831M,Other Computer Hardware,Tokyo Stock Exchange
"MITSUI E&S CO., LTD.",1126 JPY,830M,Other Shipbuilding,Tokyo Stock Exchange
NITTO KOGYO CORPORATION,3200 JPY,830M,Switchgear,Tokyo Stock Exchange
"HOKKOKU FINANCIAL HOLDINGS, INC.",5180 JPY,83Cr,Other Banks,Tokyo Stock Exchange
THE MONOGATARI CORPORATION,3445 JPY,83Cr,Other Restaurants & Bars,Tokyo Stock Exchange
"TAMA HOME CO., LTD.",4115 JPY,83Cr,Other Homebuilding,Tokyo Stock Exchange
"FUJI SEAL INTERNATIONAL, INC.",2247 JPY,83Cr,Other Non-Paper Containers & Packaging,Tokyo Stock Exchange
"SHOEI CO., LTD.",2297 JPY,82Cr,Motorcycle Parts & Accessories,Tokyo Stock Exchange
TOKYO ELECTRON DEVICE LIMITED,3910 JPY,82Cr,Semiconductor Wholesale,Tokyo Stock Exchange
"MIMASU SEMICONDUCTOR INDUSTRY CO., LTD.",3685 JPY,82Cr,Integrated Circuits,Tokyo Stock Exchange
"AUTOBACS SEVEN CO., LTD.",1518 JPY,81Cr,Automotive Parts & Accessories Retailers,Tokyo Stock Exchange
MITSUBOSHI BELTING LTD.,4160 JPY,81Cr,Elevator & Conveying Equipment,Tokyo Stock Exchange
"SK KAKEN CO.,LTD.",8730 JPY,81Cr,Paint & Coating,Tokyo Stock Exchange
"NAGAWA CO., LTD.",7520 JPY,81Cr,Other Homebuilding,Tokyo Stock Exchange
TRI CHEMICAL LABORATORIES INC.,3760 JPY,81Cr,Other Specialty Chemicals,Tokyo Stock Exchange
"VALOR HOLDINGS CO., LTD.",2290 JPY,81Cr,Other Food Retail & Distribution,Tokyo Stock Exchange
YELLOW HAT LTD.,2521 JPY,80Cr,Auto & Truck Parts Wholesale,Tokyo Stock Exchange
"ELECOM CO., LTD.",1451 JPY,80Cr,Other Computer Hardware,Tokyo Stock Exchange
"THE KIYO BANK, LTD.",1786 JPY,80Cr,Commercial Banks,Tokyo Stock Exchange
"ROYAL HOLDINGS CO., LTD.",2396 JPY,80Cr,Other Restaurants & Bars,Tokyo Stock Exchange
KYB CORPORATION,4610 JPY,80Cr,Engine & Powertrain Systems,Tokyo Stock Exchange
"SANKI ENGINEERING CO., LTD.",2277 JPY,79Cr,Other Construction & Engineering,Tokyo Stock Exchange
