Name ,Share price ,M Cap,Industry,Exchange
NIDEC CORPORATION,6134 JPY,2.44TCr,Other Electrical Components & Equipment,Tokyo Stock Exchange
NEC CORPORATION,12745 JPY,2.34TCr,Other IT Services & Consulting,Tokyo Stock Exchange
SUZUKI MOTOR CORPORATION,1673 JPY,2.25TCr,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
CENTRAL JAPAN RAILWAY COMPANY,3319 JPY,2.24TCr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
SOMPO HOLDINGS INC.,3285 JPY,2.23TCr,Other Property & Casualty Insurance,Tokyo Stock Exchange
ASTELLAS PHARMA INC.,1816 JPY,2.16TCr,Other Pharmaceuticals,Tokyo Stock Exchange
EAST JAPAN RAILWAY COMPANY,2747 JPY,2.14TCr,Rail Services,Tokyo Stock Exchange
NIPPON STEEL CORPORATION,3215 JPY,2.13TCr,Other Steel,Tokyo Stock Exchange
"AEON CO., LTD.",3666 JPY,2.12TCr,Other Food Retail & Distribution,Tokyo Stock Exchange
OLYMPUS CORPORATION,2673 JPY,2.1TCr,Other Advanced Medical Equipment & Technology,Tokyo Stock Exchange
KAO CORPORATION,6539 JPY,2.08TCr,Cosmetics & Perfumes,Tokyo Stock Exchange
"MITSUBISHI ESTATE CO., LTD.",2417.5 JPY,2.07TCr,Other Real Estate Development & Operations,Tokyo Stock Exchange
UNICHARM CORPORATION,5142 JPY,2.04TCr,Sanitary Products,Tokyo Stock Exchange
NTT DATA CORPORATION,2123 JPY,2TCr,Other IT Services & Consulting,Tokyo Stock Exchange
TOYOTA TSUSHO CORPORATION,2708.5 JPY,1.97TCr,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
Z HOLDINGS CORPORATION,388 JPY,1.95TCr,Search Engines,Tokyo Stock Exchange
"DAIWA HOUSE INDUSTRY CO., LTD.",4433 JPY,1.93TCr,Other Homebuilding,Tokyo Stock Exchange
"NOMURA RESEARCH INSTITUTE, LTD.",4888 JPY,1.9TCr,Other IT Services & Consulting,Tokyo Stock Exchange
"AJINOMOTO CO., INC.",5491 JPY,1.89TCr,Other Food Processing,Tokyo Stock Exchange
"ASAHI GROUP HOLDINGS, LTD.",5500 JPY,1.88TCr,Other Brewers,Tokyo Stock Exchange
PANASONIC HOLDINGS CORPORATION,1174.5 JPY,1.86TCr,Other Household Electronics,Tokyo Stock Exchange
INPEX CORPORATION,2131 JPY,1.82TCr,Other Oil & Gas Exploration and Production,Tokyo Stock Exchange
"SUMITOMO MITSUI TRUST HOLDINGS, INC.",3640 JPY,1.81TCr,Other Banks,Tokyo Stock Exchange
LASERTEC CORPORATION,29255 JPY,1.78TCr,Semiconductor Testing Equipment & Service,Tokyo Stock Exchange
"NOMURA HOLDINGS, INC.",834.6 JPY,1.72TCr,Other Investment Banking & Brokerage Services,Tokyo Stock Exchange
"NEXON CO., LTD.",2947 JPY,17.11B,Internet Gaming,Tokyo Stock Exchange
SHIMANO INC.,28220 JPY,16.86B,Bicycle Manufacturing,Tokyo Stock Exchange
KYOCERA CORPORATION,1724 JPY,16.47B,Other Electronic Equipment & Parts,Tokyo Stock Exchange
KUBOTA CORPORATION,2041.5 JPY,16.46B,Other Heavy Machinery & Vehicles,Tokyo Stock Exchange
"RESONA HOLDINGS, INC.",1029.5 JPY,16.42B,Other Banks,Tokyo Stock Exchange
"NITORI HOLDINGS CO., LTD.",21305 JPY,16.14B,Other Home Furnishings Retailers,Tokyo Stock Exchange
"SEKISUI HOUSE, LTD.",3600 JPY,15.85B,Other Homebuilding,Tokyo Stock Exchange
NIPPON YUSEN KABUSHIKI KAISHA,5106 JPY,15.76B,Other Marine Freight & Logistics,Tokyo Stock Exchange
"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",4770 JPY,15.51B,Other Real Estate Development & Operations,Tokyo Stock Exchange
"OBIC CO.,LTD.",25765 JPY,15.4B,Other IT Services & Consulting,Tokyo Stock Exchange
"THE KANSAI ELECTRIC POWER CO., INC.",2510 JPY,15.3B,Other Electric Utilities,Tokyo Stock Exchange
"SECOM CO., LTD.",10230 JPY,14.83B,Security Services,Tokyo Stock Exchange
SHINKIN CENTRAL BANK,245400 JPY,14.7B,Other Banks,Tokyo Stock Exchange
"ENEOS HOLDINGS, INC.",750.5 JPY,14.7B,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
"NIPPON PAINT HOLDINGS CO., LTD.",921.9 JPY,14.57B,Paint & Coating,Tokyo Stock Exchange
PAN PACIFIC INTERNATIONAL HOLDINGS CORPORATION,3554 JPY,14.37B,Other Discount Stores,Tokyo Stock Exchange
NIPPON SANSO HOLDINGS CORPORATION,4800 JPY,14.21B,Industrial Gas,Tokyo Stock Exchange
"RAKUTEN GROUP, INC.",941.4 JPY,14.04B,E-commerce & Auction Services,Tokyo Stock Exchange
SUBARU CORPORATION,2697.5 JPY,13.99B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
BANDAI NAMCO HOLDINGS INC.,3095 JPY,13.7B,Other Toys & Juvenile Products,Tokyo Stock Exchange
"SHIONOGI & CO., LTD.",6726 JPY,12.88B,Other Pharmaceuticals,Tokyo Stock Exchange
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",2323.5 JPY,12.75B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
ASICS CORPORATION,2563 JPY,12.57B,Sports & Outdoor Footwear,Tokyo Stock Exchange
MITSUI O.S.K. LINES LTD,5049 JPY,12.55B,Other Marine Freight & Logistics,Tokyo Stock Exchange
"JAPAN EXCHANGE GROUP, INC.",3420 JPY,12.42B,Securities & Commodity Exchanges,Tokyo Stock Exchange
"KIRIN HOLDINGS COMPANY, LIMITED",2162 JPY,11.84B,Other Brewers,Tokyo Stock Exchange
SYSMEX CORPORATION,2800 JPY,11.84B,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"EISAI CO., LTD.",6183 JPY,11.61B,Other Pharmaceuticals,Tokyo Stock Exchange
KONAMI GROUP CORPORATION,12660 JPY,11.56B,Other Software,Tokyo Stock Exchange
KYOWA KIRIN CO. LTD.,3158 JPY,11.27B,Specialty & Advanced Pharmaceuticals,Tokyo Stock Exchange
ORACLE CORPORATION JAPAN,12930 JPY,11.24B,Other Software,Tokyo Stock Exchange
NISSAN MOTOR CO LTD,437.9 JPY,11.09B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
KIKKOMAN CORPORATION,1698.5 JPY,11.07B,Food Ingredients,Tokyo Stock Exchange
NITTO DENKO CORPORATION,11540 JPY,11.04B,Other Specialty Chemicals,Tokyo Stock Exchange
SUNTORY BEVERAGE & FOOD LIMITED,5157 JPY,10.92B,Other Non-Alcoholic Beverages,Tokyo Stock Exchange
ISUZU MOTORS LIMITED,2109 JPY,10.88B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
DAIWA SECURITIES GROUP INC.,1074.5 JPY,10.56B,Other Investment Banking & Brokerage Services,Tokyo Stock Exchange
MITSUBISHI HC CAPITAL INC.,1042.5 JPY,10.32B,Other Corporate Financial Services,Tokyo Stock Exchange
SHIMADZU CORPORATION,4842 JPY,9.86B,Scientific & Precision Equipment,Tokyo Stock Exchange
"IDEMITSU KOSAN CO., LTD.",1064.5 JPY,9.84B,Petroleum Refining,Tokyo Stock Exchange
"KAWASAKI KISEN KAISHA, LTD.",2110 JPY,968.87Cr,Other Marine Freight & Logistics,Tokyo Stock Exchange
ASAHI KASEI CORPORATION,1021 JPY,966.35Cr,Diversified Chemicals,Tokyo Stock Exchange
"OSAKA GAS COMPANY., LTD.",3482 JPY,962.18Cr,Other Natural Gas Utilities,Tokyo Stock Exchange
"TOKYO GAS CO., LTD.",3586 JPY,961.53Cr,Other Natural Gas Utilities,Tokyo Stock Exchange
"ZOZO, INC.",4617 JPY,930.19Cr,Internet & Mail Order Department Stores,Tokyo Stock Exchange
ANA HOLDINGS INC.,2847.5 JPY,923.24Cr,Other Airlines,Tokyo Stock Exchange
"SHISEIDO COMPANY, LIMITED",3367 JPY,918.17Cr,Cosmetics & Perfumes,Tokyo Stock Exchange
"CHUBU ELECTRIC POWER CO., INC",1786 JPY,915.62Cr,Other Electric Utilities,Tokyo Stock Exchange
