Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
CHINA REFORM HEALT,6.43,9.228M,6.476B,Technology services
NANHUA BIO-MEDICIN,6.37,1.915M,2.158B,Retail trade
HAINAN JINGLIANG,4.84,4.324M,3.413B,Industrial services
ZHONGRUN RESOURCES,1.23,58.906M,1.124B,Finance
ZHUHAI PORT HOLDIN,4.4,3.103M,4.003B,Transportation
HUASU HOLDINGS,2.42,24.169M,2.651B,Electronic technology
SICHUAN XINJINLU G,2.98,17.912M,1.72B,Process industries
LIVZON PHARMACEUTI,35.74,3.994M,29.162B,Health technology
CHONGQING YUKAIFA,3.1,13.243M,2.641B,Finance
XIAN INTERNATIONAL,4.15,12.45M,9.461B,Health services
RONGAN PROPERTY CO,2.69,23.4M,8.692B,Finance
JIANGSU SIHUAN BIO,1.96,20.618M,2.069B,Health technology
NORTH INDUSTRIES G,11.76,15.423M,16.725B,Electronic technology
PHOENIX SHIPPING,2.19,18.788M,2.196B,Transportation
CHANGHONG MEILING,7.44,33.078M,6.864B,Consumer durables
HONGMIAN ZHIHUI SC,2.56,2.954M,4.736B,Consumer non-durables
GUANGZHOU LINGNAN,8.1,6.577M,5.556B,Consumer services
NANJING RED SUN CO,8.75,7.11M,4.989B,Process industries
XUEDA (XIAMEN) EDU,58.1,1.135M,7.239B,Finance
GUANGXI LIUGONG MA,9.48,10.551M,18.859B,Producer manufacturing
GUANGDONG GUANGHON,5.06,4.978M,3.036B,Distribution services
BINGSHAN REFRIGERA,3.59,5.559M,2.522B,Producer manufacturing
GUANGZHOU HENGYUN,4.67,1.977M,4.915B,Utilities
ZHUHAI HUAJIN CAPI,13.38,41.665M,4.585B,Producer manufacturing
GUANGDONG SHUNNA E,3.14,11.28M,2.211B,Producer manufacturing
WEDGE INDUSTRIAL C,9.26,2.271M,4.803B,Finance
CPT TECHNOLOGY (G,2.04,135.958M,5.892B,Electronic technology
CHINA GREEN ELECTR,8.36,4.246M,17.339B,Finance
YUNNAN BAIYAO GRP,53.25,4.762M,90.236B,Health technology
GUANGDONG ELECTRIC,4.2,15.39M,20.538B,Utilities
FOSHAN ELECTRICAL,4.47,6.767M,6.614B,Electronic technology
AN HUI WENERGY CO,8.82,26.607M,19.472B,Utilities
CENTRAL PLAINS ENV,7.23,4.04M,7.037B,Industrial services
GPRO TITANIUM INDU,1.94,63.379M,1.974B,Process industries
JINYUAN EP CO LTD,4.63,72.221M,3.279B,Industrial services
ADDSINO CO LTD,6.47,28.506M,10.326B,Electronic technology
HUNAN INVESTMENT,3.98,3.745M,2.012B,Industrial services
JIANGLING MOTORS,22.15,20.05M,15.027B,Consumer durables
CREATE TECH & SCIE,9.01,3.017M,3.705B,Producer manufacturing
GANSU ENERGY CHEMI,2.48,38.569M,13.369B,Energy minerals
ADAMA LTD,4.17,3.395M,9.549B,Process industries
SINOPEC SD TAI PET,5.02,5.602M,2.457B,Energy minerals
DIGITAL CHINA INFO,8.08,6.59M,7.878B,Technology services
NINGXIA WESTERN VE,4.04,3.972M,5.936B,Transportation
LANDER SPORTS DEVE,2.21,14.071M,2.914B,Finance
WANXIANG QIANCHAO,4.29,9.082M,14.438B,Producer manufacturing
5I5J HOLDING GROUP,2.51,170.863M,6.007B,Finance
SHAANXI FENGHUOP,6.71,14.916M,3.665B,Commercial services
SHAANXI INTERNATIO,2.79,22.189M,14.421B,Finance
CCOOP GROUP CO LTD,1.6,97.351M,31.814B,Retail trade
CHONGQING SANXIA P,3.96,2.498M,1.743B,Process industries
HAINAN HAIYAO CO,3.04,6.307M,4.007B,Health technology
HAINAN HAIDE CAPIT,5.05,6.762M,10.105B,Finance
LUZHOU LAO JIAO CO,122.5,12.334M,181.258B,Consumer non-durables
CHANGCHAI CO,4.32,3.519M,2.673B,Producer manufacturing
SUNDIRO HOLDING CO,2.89,4.299M,2.433B,Energy minerals
HAIMA AUTOMOBILE C,3.06,31.246M,5.164B,Consumer durables
DONGGUAN WINNERWAY,2.07,5.43M,1.358B,Finance
GUANGDONG GANHUA S,5.45,2.397M,2.36B,Process industries
