Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
GOLDENMAX INTL GP,6.22,3.383M,4.623B,Producer manufacturing
ZANYU TECHNOLOGY G,8.2,1.165M,4.566B,Process industries
DONGGUAN KINGSUN O,1.57,4.928M,2.299B,Consumer services
FUJIAN SNOWMAN GP,5.38,17.439M,4.257B,Producer manufacturing
GLOBAL TOP E-COMME,1.4,73.212M,2.472B,Retail trade
ERA CO LTD,3.64,4.829M,4.526B,Producer manufacturing
RONGLIAN GROUP LTD,6.46,163.369M,4.238B,Technology services
VALIANT CO LTD,8,13.737M,7.722B,Process industries
LANZHOU FOCI PHARM,6.54,3.515M,3.406B,Health technology
JIANGSU HUAHONG TE,5.71,5.536M,3.437B,Producer manufacturing
QINGHAI HUZHU TIAN,8.78,6.233M,4.324B,Consumer non-durables
RENDONG HOLDINGS C,3.86,72.404M,2.402B,Technology services
SATELLITE CHEMICAL,15.55,17.196M,53.058B,Process industries
BEYONDSOFT CORPORA,7.32,7.11M,4.431B,Commercial services
JIAJIA FOODSTUFF G,1.95,12.241M,2.143B,Consumer non-durables
CHENGDU LEEJUN IND,5.09,9.31M,5.242B,Producer manufacturing
SUZHOU YANGTZE NEW,2.83,9.856M,1.434B,Producer manufacturing
HAISCO PHARMACEUTI,30.04,2.15M,32.745B,Health technology
SHENZHEN MASON TEC,8.81,15.897M,7.424B,Producer manufacturing
GETTOP ACOUSTIC CO,10.21,6.546M,3.737B,Consumer durables
MODERN AVENUE GROU,1.54,11.066M,1.24B,Retail trade
SINODATA CO LTD,10.29,5.992M,3.598B,Technology services
BEIJING SDL TECHNO,5.21,4.447M,4.713B,Health technology
BEIJING KAIWEN EDU,3.45,22.203M,2.124B,Commercial services
MOSO POWER SUPPLY,6.7,3.349M,2.439B,Producer manufacturing
CHEN KE MING FOOD,8.33,2.889M,2.838B,Consumer non-durables
BEIJING WKW AUTOMO,2.71,9.771M,4.155B,Producer manufacturing
PUBANG LANDSCAPE,1.29,5.161M,2.353B,Commercial services
XINZHI GROUP CO LT,11,1.847M,4.521B,Producer manufacturing
GUANGDONG DELIAN G,3.36,4.72M,2.587B,Process industries
WILLING NEW ENERGY,5.81,48.666M,1.5B,Producer manufacturing
GUANGDONG TCL SMAR,8.24,14.438M,8.955B,Consumer durables
KANGDA NEW MATERIA,7.64,3.04M,2.336B,Process industries
GUOSHENG FINANCIAL,8.81,68.499M,18.132B,Finance
SHANDONG LONGQUAN,3.42,3.377M,1.918B,Non-energy minerals
DONGJIANG ENVIRONM,3.38,14.484M,3.153B,Industrial services
WESTERN SECURITIES,6.25,71.43M,27.98B,Finance
XINGYE LEATHER TEC,8.23,3.095M,2.367B,Process industries
YANTAI DONGCHENG B,11.73,2.557M,9.664B,Health technology
GUANGDONG SUNWILL,4.12,8.573M,3.002B,Producer manufacturing
ZHEJIANG MEIDA IND,6.93,1.122M,4.509B,Consumer durables
GUANGZHOU PEARL.R.,3.5,3.293M,4.855B,Consumer durables
FUJIAN JINSEN FORE,6.33,1.417M,1.525B,Non-energy minerals
SHENZHEN FENDA TEC,3.55,75.506M,6.247B,Electronic technology
LONGZHOU GROUP CO,3.53,12.844M,2.025B,Transportation
GUANGDONG HONGDA H,17.82,2.187M,13.748B,Industrial services
WUXI HUADONG HEAVY,2.86,38.721M,2.401B,Producer manufacturing
ZHEJIANG YILIDA VE,3.81,4.509M,1.694B,Producer manufacturing
ZHEJIANG GIUSEPPE,3.96,2.777M,1.922B,Consumer non-durables
JINHE BIOTECHNOLOG,3.59,4.374M,2.809B,Health technology
SHENYANG YUANDA IN,2.44,100.172M,2.567B,Producer manufacturing
HEFEI MEYER OPTOEL,13.6,4.2M,12.453B,Electronic technology
JIKAI EQUIPMENT MA,4.76,29.156M,1.608B,Energy minerals
YUAN CHENG CABLE C,3.29,2.856M,2.377B,Producer manufacturing
HAINAN SHUANGCHENG,5.13,24.456M,2.018B,Health technology
GOODY SCIENCE AND,3.35,7.583M,2.61B,Producer manufacturing
JIANGXI HUANGSHANG,6.2,3.85M,3.407B,Distribution services
BAIYANG INVESTMENT,3.71,4.982M,1.291B,Process industries
CHENGDU HONGQI CHA,4.13,10.743M,5.672B,Retail trade
HARBIN BOSHI AUTOM,11.01,12.357M,11.78B,Producer manufacturing
XINJIANG HAOYUAN N,8.99,4.899M,3.913B,Industrial services
ORG TECHNOLOGY CO,4.32,15.679M,11.142B,Process industries
HAIXIN FOODS CO LT,3.07,9.338M,1.732B,Consumer non-durables
ZHEJIANG SHIBAO,10.22,7.01M,6.767B,Producer manufacturing
GUANGDONG XINBAO E,12.41,3.79M,10.022B,Consumer durables
SHANGHAI LIANGXIN,5.73,9.401M,6.473B,Electronic technology
UTOUR GROUP CO LTD,6.02,13.414M,5.88B,Consumer services
CHANGZHOU NRB CORP,7.03,10.806M,3.941B,Producer manufacturing
GUANGZHOU TINCI MA,13.96,21.509M,27.252B,Process industries
SIMEI MEDIA CO LTD,3.38,10.263M,1.771B,Commercial services
DONG YI RI SHENG H,2.73,72.614M,1.187B,Consumer durables
MUYUAN FOODS CO LT,39.3,28.535M,210.803B,Process industries
HUAIJI DENGYUN AUT,9.89,2.522M,1.402B,Producer manufacturing
HUNAN SILVER CO LT,2.99,22.51M,8.582B,Non-energy minerals
LINGNAN ECO&CULTUR,1.07,239.478M,1.78B,Industrial services
ZHEJIANG YOUPON IN,9.3,877.6K,1.259B,Industrial services
MAIQUER GROUP CO L,5.7,4.594M,944.525M,Consumer non-durables
BEIJING KINGEE CUL,2.09,4.866M,5.579B,Consumer durables
WUCHAN ZHONGDA GER,11.13,1.825M,2.33B,Producer manufacturing
KENNEDE ELECTRONIC,4.74,4.859M,1.528B,Consumer durables
OCEANS KING LIGHTI,4.05,3.495M,3.202B,Producer manufacturing
ZHEJIANG YUELING C,7.91,2.331M,2.066B,Producer manufacturing
SHANDONG LONGDA ME,6.99,8.232M,7.554B,Distribution services
YIXINTANG PHARMACE,11.66,8.035M,7.063B,Retail trade
TEYI PHARMACEUTICA,7.44,10.698M,3.881B,Health technology
HOLLYLAND (CHINA),10.77,25.204M,1.897B,Electronic technology
DIANGUANG EXPLOSIO,6.13,3.339M,2.277B,Electronic technology
SHENYANG CUIHUA GO,7.4,1.811M,1.934B,Consumer durables
GUANGDONG YANTANG,13.37,757.9K,2.116B,Consumer non-durables
SHENZHEN CENTER PO,10.53,3.675M,4.068B,Producer manufacturing
LIMIN GROUP CO LTD,6.52,1.121M,2.403B,Process industries
SHENZHEN PRINCE NE,7.94,7.617M,3.074B,Process industries
GUOSEN SECURITIES,9.04,13.951M,86.896B,Finance
SUNFLOWER PHARMACE,21.94,1.95M,12.616B,Health technology
SINOMINE RESOURCE,27.4,18.249M,20.819B,Non-energy minerals
WANDA FILM HOLDING,9.76,20.1M,21.793B,Consumer services
GUANGDONG GUANGHUA,9.8,3.57M,3.939B,Process industries
CHONGQING SANSHEN,2.8,2.937M,1.171B,Process industries
ANHUI FUHUANG STEE,3.48,3.04M,1.548B,Producer manufacturing
MLS CO LTD,7.61,5.837M,11.517B,Electronic technology
SHANDONG XIANTAN C,5.35,2.854M,4.595B,Process industries
ESTUN AUTOMATION,12.08,12.764M,10.869B,Electronic technology
JIANGXI SELON INDU,6.42,3.212M,1.483B,Process industries
SICHUAN GUOGUANG,13.49,2.001M,6.228B,Process industries
KUNMING LONGJIN PH,2.15,17.087M,825.03M,Health technology
SUNRISE GROUP COMP,4.51,4.527M,4.435B,Process industries
SHANXI YONGDONG CH,5.37,2.063M,2.044B,Process industries
BEIJING AOSAIKANG,11.17,2.582M,10.377B,Health technology
YONGXING SPECIAL M,31.45,5.837M,17.357B,Non-energy minerals
NANXING MACHINERY,11.1,5.688M,3.365B,Producer manufacturing
ZJAMP GROUP CO LTD,7.12,1.788M,3.781B,Retail trade
TONZE NEW ENERGY T,5.69,4.171M,2.341B,Consumer durables
FENGXING CO LTD,15.28,5.378M,1.5B,Producer manufacturing
ZHEJIANG CONSTRUCT,7.22,13.433M,7.84B,Industrial services
JINFA LABI MATERNI,5.23,14.773M,1.682B,Retail trade
SHENZHEN HUIJIE GR,6.34,1.522M,2.574B,Consumer non-durables
LANDAI TECHNOLOGY,4.68,9.941M,2.534B,Producer manufacturing
SHENZHEN SOLING IN,4.25,16.249M,3.696B,Producer manufacturing
HANGZHOU INNOVER T,11.7,10.393M,1.723B,Producer manufacturing
QINGDAO GON TECHNO,17.02,941.6K,4.706B,Process industries
SHENZHEN PROLTO SU,4.66,2.696M,1.773B,Transportation
BEIJING TRANSTRUE,15.9,16.367M,3.461B,Electronic technology
TIANSHUI ZHONGXING,5.8,4.37M,2.176B,Consumer non-durables
CHENGDU KANGHONG P,21.27,4.354M,19.621B,Health technology
IFE ELEVATORS CO L,5.89,1.594M,2.03B,Producer manufacturing
GUANGDONG WENKE GR,2.32,22.771M,1.339B,Industrial services
SICHUAN JIUYUAN YI,12.12,7.071M,5.07B,Technology services
JIANGSU ZHONGSHENG,9.17,945.68K,1.166B,Energy minerals
ZHEJIANG ZHONGJIAN,32.33,1.123M,4.297B,Producer manufacturing
BEIJING SANFO OUTD,9.22,10.64M,1.321B,Consumer non-durables
SHENZHEN CLICK TEC,9.75,3.547M,4.749B,Electronic technology
HUBEI KAILONG CHEM,6.98,4.012M,3.579B,Process industries
XIAMEN WANLI STONE,24.79,3.858M,5.752B,Non-energy minerals
SHENZHEN SILVER BA,6.46,8.174M,3.301B,Consumer services
SUZHOU HYCAN HOLDI,6.06,2.994M,2.041B,Process industries
LUYAN PHARMA CO LT,7.31,9.223M,2.786B,Retail trade
SHENZHEN JIANYI DE,8.3,1.01M,1.346B,Industrial services
XIAMEN R AND T PLU,7.55,2.194M,3.112B,Consumer durables
GUANGDONG KINLONG,20.15,2.275M,6.601B,Consumer durables
TONGYU COMMUNICATI,10.22,17.607M,5.575B,Electronic technology
LUOXIN PHARMACEUTI,3.79,4.029M,4.189B,Health technology
YORHE FLUID INTELL,3.22,13.404M,1.435B,Producer manufacturing
SUZHOU SHIJIA SCI.,8.46,20.681M,2.279B,Electronic technology
FIRST CAPITAL SECU,5.09,29.757M,21.81B,Finance
D&O HOME COLLECTI,3.1,2.94M,1.187B,Consumer durables
XI AN GLOBAL PRINT,6.49,12.29M,1.888B,Commercial services
XINJIANG TIANSHUN,8.26,1.019M,1.274B,Transportation
HANGZHOU WEIGUANG,16.78,632.35K,3.924B,Producer manufacturing
WUXI HONGHUI NEW M,7.78,847.65K,1.422B,Process industries
XIAMEN JIHONG TECH,9.77,4.564M,3.783B,Process industries
SHANDONG FENGYUAN,9.61,13.426M,2.792B,Process industries
GUANGDONG HUAFENG,9.82,12.831M,1.885B,Non-energy minerals
JIANGSU JIANGYIN R,3.74,29.716M,9.088B,Finance
SUZHOU GOLDENGREEN,1.72,6.689M,456.96M,Electronic technology
GUANGDONG REDWALLA,6.5,1.275M,1.394B,Non-energy minerals
SHANDONG HEAD GROU,11.78,4.897M,4.056B,Process industries
SHENZHEN CHENG CHU,6.85,3.456M,1.904B,Industrial services
YUNNAN ENERGY NEW,25.78,8.727M,25.81B,Process industries
SHENZHEN ROADROVER,25.45,1.391M,3.132B,Producer manufacturing
SUNTAK TECHNOLOGY,7.74,8.655M,8.477B,Electronic technology
SHENZHEN HEKEDA PR,7.55,195.194K,770M,Producer manufacturing
ANHUI HUANGSHAN CA,5.18,1.961M,1.564B,Process industries
CHENGDU FUSEN NOBL,10.98,1.284M,8.323B,Retail trade
BEIJING ORIENTAL J,22.23,9.708M,6.461B,Distribution services
TIANJIN GUIFAXIANG,6.86,2.027M,1.375B,Consumer non-durables
ASYMCHEM LABORATOR,61.23,2.749M,22.239B,Health technology
SHENZHEN ZHONGZHUA,1.73,18.065M,1.213B,Industrial services
SHENZHEN KAIZHONG,12.1,7.888M,4.029B,Producer manufacturing
GUANGDONG HOSHION,12.83,8.72M,3.846B,Non-energy minerals
SHANGHAI NAR INDUS,5.8,2.22M,2.003B,Process industries
TIBET AIM PHARM IN,7.88,2.592M,1.517B,Health technology
TIBET GAOZHENG EXP,24.78,21.727M,7.389B,Process industries
XINJIANG BEIKEN EN,7.4,5.78M,1.525B,Industrial services
BEIJING STARNETO T,20,34.898M,4.406B,Electronic technology
SHENZHEN MINGDIAOA,9.47,748.5K,1.287B,Industrial services
SHENZHEN YUTO PACK,22.32,1.19M,20.732B,Process industries
BIEM L FDLKK GARME,18.35,4.484M,10.347B,Consumer non-durables
GUANGZHOU KDT MACH,15.39,1.148M,6.639B,Producer manufacturing
SHENZHEN TVT DIGIT,13.88,2.047M,3.073B,Electronic technology
GUANGDONG NEW GRAN,5.84,1.8M,1.369B,Commercial services
SHENZHEN ENVICOOL,20.83,7.162M,15.3B,Producer manufacturing
SHANDONG DAWN POLY,8.18,1.612M,3.719B,Process industries
JIANGSU ZHANGJIAGA,3.92,15.826M,8.469B,Finance
ZHEJIANG HUATONG M,11.35,8.259M,7.032B,Consumer non-durables
GUANGZHOU SHIYUAN,27.97,1.398M,19.725B,Electronic technology
GUANGDONG XIANGLU,4.98,2.535M,1.402B,Producer manufacturing
BICHAMP CUTTING TE,12.06,8.888M,3.01B,Producer manufacturing
SHENZHEN TXD TECHN,11.37,4.936M,3.694B,Electronic technology
GUANGDONG ENPACK P,6.56,5.262M,2.755B,Producer manufacturing
YANKERSHOP FOOD CO,38.33,1.76M,10.558B,Consumer non-durables
GOSPELL DIGITAL TE,6.57,7.674M,1.122B,Electronic technology
ZHEJIANG VIEWSHINE,9.07,3.388M,2.017B,Producer manufacturing
SHENZHEN KEDALI IN,70.14,1.8M,18.799B,Producer manufacturing
SHENZHEN MEGMEET E,22.32,3.472M,11.299B,Producer manufacturing
DAODAOQUAN GRAIN,6.23,3.92M,2.085B,Process industries
GUANGDONG PIANO CU,6.79,1.587M,1.293B,Consumer durables
DONGGUAN CHITWING,16.86,4.353M,4.227B,Producer manufacturing
SHENZHEN MAGIC DES,6.66,3.917M,933.658M,Industrial services
SMS ELECTRIC CO LT,10.12,3.818M,1.336B,Electronic technology
LISHENG SPORTS(SHA,9.39,3.335M,1.546B,Consumer services
ZHEJIANG JIEMEI EL,16.38,2.687M,7.121B,Electronic technology
HANGZHOU STAR SHUA,7.14,3.05M,2.764B,Electronic technology
YINGTONG TELECOMMU,10.09,16.835M,1.637B,Commercial services
SHIFENG CULTURAL D,13.22,2.808M,1.572B,Consumer durables
ZHEJIANG JINFEI KA,3.55,6.08M,2.179B,Producer manufacturing
SHAANXI PANLONG PH,24.57,1.207M,2.607B,Health technology
HAINAN DRINDA NEW,36.26,6.563M,8.662B,Producer manufacturing
JIANGSU TRANSIMAGE,10.49,2.543M,3.095B,Electronic technology
CHOW TAI SENG JEWE,10.05,8.5M,11.061B,Retail trade
LIFECOME BIOCHEMIS,11.92,749.2K,1.868B,Health technology
SHENZHEN GENVICT T,24.03,11.586M,4.374B,Electronic technology
GUANGDONG SENSSUN,27.53,1.197M,3.688B,Producer manufacturing
QINGDAO WEFLO VALV,7.58,2.803M,1.667B,Producer manufacturing
TIANSHENG PHARMACE,3.94,3.668M,1.262B,Health technology
GUIYANG XINTIAN PH,7.69,3.826M,1.755B,Health technology
ANNIL CO LTD,11.15,6.377M,2.378B,Consumer non-durables
SHENZHEN SUNNYPOL,19.47,4.22M,3.465B,Health technology
WUXI SMART AUTO-CO,6.47,2.608M,2.332B,Producer manufacturing
BEIJING YUANLONG Y,10,5.97M,2.699B,Commercial services
CHANG LAN TECH GP,12.64,935.027K,2.273B,Producer manufacturing
SHENZHEN WEIGUANG,26.1,364.593K,5.933B,Health technology
MEIG SMART TECHNOL,19.95,11.385M,5.299B,Electronic technology
JINLONGYU GROUP CO,14.57,19.552M,8.81B,Producer manufacturing
JIANGSU ZHONGSHE G,8.31,2.223M,1.315B,Industrial services
GUANGDONG LINGXIAO,15.76,1.061M,5.659B,Producer manufacturing
SHENZHEN JINGQUANH,9.6,2.945M,2.642B,Electronic technology
SHENZHEN WOTE ADVA,12.43,4.674M,3.35B,Process industries
TIANJIN LVYIN LAND,6,2.387M,1.809B,Commercial services
HIVI ACOUSTICS TEC,16.44,16.991M,2.371B,Consumer durables
SHENZHEN EASTTOP S,15.3,4.328M,4.263B,Transportation
SHANDONG HONGYU PR,7.97,1.944M,1.386B,Producer manufacturing
YANTAI CHINA PET F,20.04,5.069M,5.982B,Consumer non-durables
KELI MOTOR GROUP C,7.78,19.207M,5.14B,Producer manufacturing
BEIJING JINGNENG T,8.1,1.701M,2.157B,Utilities
GUIZHOU CHANHEN CH,16.06,2.747M,8.706B,Process industries
NINGBO ZHONGDA LEA,24.9,7.444M,4.06B,Producer manufacturing
WENZHOU YIHUA CONN,34.85,7.713M,6.774B,Electronic technology
SAILONG PHARMACEUT,8.58,3.588M,1.542B,Health technology
IMPULSE (QINGDAO),11.39,834.3K,1.704B,Consumer durables
HARBIN MEDISAN PHA,8.37,1.305M,2.628B,Health technology
DOUBLE MEDICAL TEC,22.24,688.9K,9.174B,Health technology
DONGGUAN MENTECH O,18.7,16.097M,4.49B,Electronic technology
YUHUAN CNC MACHINE,14.16,3.197M,2.258B,Producer manufacturing
GUANGZHOU JINYI ME,5.8,5.334M,2.25B,Consumer services
FORYOU CORPORATION,23.06,4.783M,12.327B,Producer manufacturing
CHONGQING PHARSCIN,12.16,4.624M,5.347B,Health technology
GUANGDONG TECSUN S,6.56,4.12M,2.904B,Electronic technology
GUANGZHOU JOINTAS,3.65,3.249M,1.478B,Process industries
LANZHOU ZHUANGYUAN,6.12,13.646M,1.155B,Consumer non-durables
FORAN ENERGY GROUP,10.01,1.719M,12.827B,Utilities
SHENZHEN SINOVATIO,15.02,1.714M,2.57B,Technology services
AOSHIKANG TECHNOLO,23.82,2.277M,7.657B,Electronic technology
ZHEJIANG ZHONGXIN,10.27,24.854M,3.31B,Commercial services
SHENNAN CIRCUITS C,109.1,4.048M,55.239B,Electronic technology
SHENZHEN KING EXPL,7.98,2.677M,2.819B,Process industries
MONALISA GROUP CO,7.43,3.296M,3.193B,Producer manufacturing
MINGCHEN HEALTH CO,12.43,19.84M,3.627B,Consumer non-durables
HUIZHOU DESAY SV,90.41,8.163M,52.337B,Producer manufacturing
SHANDONG LIANCHENG,9.18,1.373M,1.204B,Producer manufacturing
EAGLERISE ELECTRIC,15.87,7.045M,6.257B,Producer manufacturing
ZHUHAI RUNDU PHARM,8.52,1.263M,2.897B,Health technology
XIAMEN INTRETECH I,10.89,6.675M,8.84B,Electronic technology
HUAXI SECURITIES C,6.43,5.41M,17.089B,Finance
GUIZHOU TAIYONG-CH,10.19,4.315M,2.3B,Producer manufacturing
CHINA EXPRESS AIRL,5.64,10.451M,7.326B,Transportation
RUNJIAN CO LTD,24.83,3.637M,7.125B,Technology services
GUANGDONG GREAT RI,10.09,1.268M,4.676B,Transportation
ZHEJIANG FENGLONG,7.85,2.563M,1.626B,Producer manufacturing
WUHAN EASY DIAGNOS,16.51,1.64M,3.875B,Health technology
BEIJING EMERGING E,24.76,5.348M,2.577B,Electronic technology
CHENGDU SPACEON EL,11.73,1.652M,5.07B,Electronic technology
BANK OF ZHENGZHOU,1.76,31.217M,13.142B,Finance
NINGBO SUNRISE ELC,16.96,1.809M,5.071B,Producer manufacturing
AVARY HOLDING (SHE,34.1,13.603M,78.97B,Electronic technology
CHINA GREATWALL SE,6.51,12.887M,26.99B,Finance
ZHEJIANG ANGLIKANG,12.42,2.912M,2.55B,Health technology
XINJIANG COMMUNICA,8.64,5.256M,5.67B,Industrial services
ZHEJIANG XINNONG C,11.38,803.78K,1.817B,Process industries
HUNAN YUJIN MACHIN,16.64,2.69M,3.529B,Producer manufacturing
CHINALIN SECURITIE,9.33,6.108M,25.974B,Finance
NEW HOPE DAIRY CO,8.04,3.829M,6.879B,Consumer non-durables
SUZHOU HENGMINGDA,31.33,6.177M,8.347B,Electronic technology
BANK OF QINGDAO CO,3.3,25.42M,16.471B,Finance
SHENZHEN CAPOL INT,8.56,920.3K,1.713B,Industrial services
ALLMED MEDICAL PRO,6.41,1.695M,4.148B,Health technology
SICHUAN JINSHI TEC,4.29,1.508M,1.656B,Process industries
YES OPTOELECTRONI,21.5,18.177M,3.454B,Electronic technology
GUANGDONG RIFENG E,7.1,2.183M,3.226B,Producer manufacturing
HITEVISION CO LTD,20.59,1.923M,4.926B,Electronic technology
GUILIN SEAMILD FOO,12.54,1.501M,2.829B,Consumer non-durables
SHENZHEN COLIBRI T,12.31,6.67M,5.185B,Electronic technology
QINGDAO RURAL COMM,2.6,39.52M,14.389B,Finance
BEAR ELECTRIC APPL,42.2,1.392M,6.687B,Consumer durables
JADE BIRD FIRE CO,10.01,4.665M,7.604B,Electronic technology
RUIDA FUTURES CO L,10.2,3.012M,4.655B,Finance
HUBEI W-OLF PHOTOE,13.28,14.536M,3.984B,Electronic technology
HAOERSAI TECHNOLOG,9.63,1.379M,1.477B,Producer manufacturing
LUCKY HARVEST CO L,25.34,1.409M,5.322B,Producer manufacturing
BANK OF SUZHOU CO,7.32,38.383M,26.291B,Finance
GRG METROLOGY & TE,11.89,4.902M,6.96B,Commercial services
NEW DAZHENG PROPER,8.2,3.05M,1.854B,Finance
JIAMEI FOOD PACKAG,2.75,4.089M,2.635B,Process industries
STREAMAX TECHNOLOG,30.01,1.583M,5.272B,Electronic technology
HUBEI HEYUAN GAS C,14.59,1.168M,3.072B,Process industries
SHENZHEN KEANDA EL,9.46,2.327M,2.367B,Producer manufacturing
QIAOYIN CITY MANAG,8.43,1.003M,3.519B,Industrial services
ZHUHAI BOJAY ELECT,25.6,637.502K,3.647B,Producer manufacturing
SUZHOU CHEERSSON P,19.94,572.905K,2.457B,Producer manufacturing
CHENGDU TIANJIAN T,26.49,1.559M,3.242B,Electronic technology
SICHUAN ANNING IRO,24.28,1.647M,9.865B,Non-energy minerals
CHINA LEADSHINE TE,20.03,18.077M,6.394B,Producer manufacturing
SHENZHEN EVERBEST,21.33,635.793K,2.856B,Electronic technology
RISUNTEK INC,19.8,8.806M,2.428B,Consumer durables
HUNAN XIANGJIA ANI,15.5,1.216M,2.215B,Process industries
ANHUI COREACH TECH,15,1.489M,3.401B,Producer manufacturing
QINGDAO SENTURY TI,21.6,4.737M,22.001B,Consumer durables
BEIJING BEIMO HIGH,18.2,1.888M,6.103B,Electronic technology
GUANGDONG YUSSEN E,11.31,7.675M,3.95B,Process industries
NORTHKING INFORMAT,9.91,24.452M,6.395B,Technology services
GUANGDONG HAOMEI N,13.73,1.395M,3.484B,Non-energy minerals
SHENZHEN STRONGTEA,15.04,1.835M,2.78B,Industrial services
MAXVISION TECHNOLO,17.76,2.395M,4.485B,Electronic technology
GANYUAN FOODS CO,48.12,721.3K,4.4B,Consumer non-durables
SHENZHEN BAOMING T,42.94,1.047M,7.946B,Electronic technology
DONGGUAN AOHAI TEC,24.62,4.725M,6.998B,Distribution services
BEIJING QUANSHI WO,13.46,3.507M,2.47B,Technology services
CHONGQING SHUNBO,5.06,2.522M,3.461B,Non-energy minerals
RAYHOO MOTOR DIES,27.2,4.556M,5.897B,Retail trade
ELITE COLOR ENVIRO,5.06,2.337M,1.678B,Process industries
GUANGDONG TIANHE,4.9,2.898M,1.117B,Distribution services
JINZAI FOOD GROUP,10.54,8.685M,4.733B,Consumer non-durables
ZHONGYAN TECHNOLOG,21.82,10.589M,2.795B,Industrial services
SHANXI HUHUA GROUP,9.96,1.819M,2.04B,Process industries
GUANGDONG TENGEN I,7.51,1.346M,1.342B,Process industries
BEIJING TELESOUND,20.94,1.305M,1.777B,Commercial services
BEIJING JINGYEDA T,20.03,1.599M,3.066B,Technology services
CHONGQING BAIYA SA,21.84,2.589M,9.196B,Consumer non-durables
BEIJING ZZNODE TEC,21.63,1.226M,2.305B,Technology services
XUCHANG KETOP TEST,16.27,1.48M,1.69B,Commercial services
SHAANXI ZHONGTIAN,37.89,828.8K,5.875B,Electronic technology
GUANGZHOU RUOYUCHE,11.2,2.866M,1.904B,Retail trade
ZHEJIANG WALRUS NE,11.64,506.5K,1.224B,Producer manufacturing
GUANGDONG DONGPENG,5.27,5.282M,6.239B,Non-energy minerals
GUANGZHOU METRO DE,12.46,1.678M,5.218B,Industrial services
JIANGSU RIJIU OPTO,10.14,14.698M,2.943B,Electronic technology
XIN HEE CO LTD,5.82,779.037K,2.524B,Consumer non-durables
ZHEJIANG DAYANG BI,14.9,644.58K,1.263B,Process industries
JINFU TECHNOLOGY C,7.06,925.2K,1.856B,Producer manufacturing
TES TOUCH EMBEDDED,20.76,2.146M,3.634B,Electronic technology
HEFEI LIFEON PHARM,17.73,789.112K,3.406B,Health technology
SHENZHEN ZHAOWEI M,39.64,2.81M,9.736B,Producer manufacturing
LEVIMA ADVANCED MA,12.04,2.13M,16.401B,Process industries
CHENGDU RAINBOW AP,15.06,731.268K,1.599B,Consumer durables
SIJIN INTELLIGENT,12.41,3.274M,2.993B,Producer manufacturing
ZHEJIANG MTCN TECH,30.9,13.043M,4.085B,Electronic technology
TONGXING ENVIRONME,11.65,1.38M,1.539B,Commercial services
GENBYTE TECHNOLOGY,31.45,356K,3.53B,Producer manufacturing
JILIN UNIVERSITY Z,16.69,4.767M,3.148B,Electronic technology
ZUMING BEAN PRODUC,12.9,371.2K,1.628B,Process industries
HEBEI SINOPACK ELE,37.1,1.807M,17.334B,Producer manufacturing
JIANGSU CHUANZHIBO,8.41,12.699M,3.36B,Commercial services
QINGDAO CHOHO INDU,23.26,930K,1.924B,Producer manufacturing
CHINA SOUTHERN P.G,3.97,6.125M,15.038B,Utilities
ZHEJIANG TAITAN CO,7.19,1.131M,1.581B,Producer manufacturing
GUANGDONG SANHE PI,4.94,3.502M,3.019B,Non-energy minerals
ANHUI XINBO ALUMIN,12.07,2.553M,2.623B,Producer manufacturing
GUANGDONG SHUNKONG,11.02,1.218M,6.892B,Utilities
CHUTIAN DRAGON CO,9.81,5.618M,4.694B,Technology services
ZHEJIANG TRUELOVE,10.73,374.644K,1.551B,Consumer durables
SHANDONG SINO-AGRI,10.92,1.099M,1.601B,Process industries
SUZHOU HUAYA INTEL,36.51,1.169M,3.098B,Producer manufacturing
CGN POWER CO LTD,5.06,157.573M,227.032B,Utilities
NANJING PUTIAN TEL,2.03,629.079K,379.86M,Electronic technology
TSANN KUEN (CHINA),3.06,143.3K,527.811M,Consumer durables
WAFANGDIAN BEARING,1.86,41K,681.826M,Producer manufacturing
HANGZHOU TURBINE P,6.86,238.052K,7.32B,Producer manufacturing
SHANDONG ZHONGLU O,1.57,766.6K,387.278M,Consumer non-durables
QINGDAO TGOOD ELEC,18,8.262M,18.541B,Producer manufacturing
BEIJING ULTRAPOWER,8,45.788M,16.329B,Technology services
LEPU MEDICAL TECHN,11.14,16.769M,20.991B,Health technology
NANFANG VENTILATOR,4.09,31.839M,2.078B,Producer manufacturing
TOREAD HOLDINGS GR,6.06,93.913M,4.439B,Consumer non-durables
CHONGQING LUMMY PH,2.46,8.634M,2.65B,Health technology
HANWEI ELECTRONICS,12.66,7.403M,4.322B,Electronic technology
BESTWAY MARINE & E,3.56,18.657M,6.238B,Producer manufacturing
ANHUI ANKE BIOTECH,8.16,6.03M,13.83B,Health technology
DOUSHEN(BEIJING) E,2.42,27.613M,4.479B,Technology services
BEIJING DINGHAN,5.65,25.921M,3.296B,Producer manufacturing
CENTRE TESTING GRO,10.72,7.202M,19.434B,Commercial services
HENAN XINNING MODE,2.46,24.713M,1.112B,Transportation
EVE ENERGY CO LTD,34.2,22.393M,72.05B,Producer manufacturing
AIER EYE HOSPITAL,9.95,68.591M,95.057B,Health services
BEIJING BEILU PHAR,4.53,3.943M,2.241B,Health technology
WANGSU SCIENCE AND,6.85,30.034M,16.628B,Technology services
