Name,Stock Price,Market cap,Percentage change,Industry
RELIANCE INDUSTRIES LTD        ,"3,025.20",242B,17.03%,Other Oil & Gas Refining and Marketing
TATA CONSULTANCY SERVICES        ,"4,502.45",193B,18.69%,Other IT Services & Consulting
HDFC BANK LIMITED          ,"1,639.95",148B,-4.05%,Other Banks
BHARTI AIRTEL LIMITED        ,"1,513.65",107B,46.55%,Wireless Telecom
ICICI BANK LIMITED         ,"1,213.30",101B,21.74%,Commercial Banks
INFOSYS LIMITED        ,"1,876.15",92.02B,21.60%,Other IT Services & Consulting
STATE BANK OF INDIA         ,815.05,86.82B,26.94%,Other Banks
LIFE INSURANCE CORPORATIO          ,"1,052.05",80.1B,26.37%,Life Insurance
HINDUSTAN UNILEVER LIMITE        ,"2,820.70",78.89B,5.91%,Other Personal Products
ITC LIMITED        ,505.7,75.47B,9.44%,Cigars & Cigarette Manufacturing
LARSEN TOUBRO LIMITED        ,"3,640.10",59.01B,3.21%,Other Construction & Engineering
HCL TECHNOLOGIES LIMITED        ,"1,719.45",53.65B,17.28%,Other IT Services & Consulting
SUN PHARMACEUTICAL INDUST        ,"1,772.45",50.84B,40.73%,Generic Pharmaceuticals
BAJAJ FINANCE LIMITED         ,"6,778.35",49.67B,-7.50%,Other Consumer Lending
OIL AND NATURAL GAS CORPO        ,327.85,47.87B,59.89%,Oil Exploration & Production - Offshore
TATA MOTORS LIMITED         ,"1,092.15",47.58B,39.88%,Other Auto & Truck Manufacturers
NTPC LTD        ,414.85,46.5B,33.33%,Other Independent Power Producers
MARUTI SUZUKI INDIA LTD        ,"12,243.80",46.15B,18.84%,Automobiles & Multi Utility Vehicles
KOTAK MAHINDRA BANK LIMIT         ,"1,812.80",43.11B,-4.99%,Other Banks
AXIS BANK LIMITED         ,"1,170.05",43.01B,6.08%,Other Banks
ADANI ENTERPRISES LIMITED        ,"3,068.90",41.84B,7.72%,Diversified Industrial Goods Wholesale
COAL INDIA LIMITED        ,538.1,39.62B,43.11%,Other Coal
ULTRATECH CEMENT LIMITED        ,"11,337.10",39B,7.94%,Other Construction Materials
HINDUSTAN AERONAUTICS LIM         ,"4,802.00",38.48B,71.26%,Other Aerospace & Defense
ADANI PORTS SPECIAL ECONO        ,"1,482.55",38.44B,44.73%,Other Marine Port Services
AVENUE SUPERMARTS LIMITED         ,"4,959.40",38.06B,21.48%,Supermarkets & Convenience Stores
TITAN COMPANY LIMITED         ,"3,630.20",37.8B,-1.24%,Jewelry
POWER GRID CORPORATION OF        ,338.25,37.31B,42.60%,Other Electric Utilities
MAHINDRA MAHINDRA LIMITED        ,"2,793.10",36.7B,61.51%,Other Auto & Truck Manufacturers
ASIAN PAINTS LIMITED         ,"3,171.35",36.1B,-6.79%,Paint & Coating
ADANI GREEN ENERGY LIMITE         ,"1,888.90",35.93B,18.28%,Renewable IPPs
BAJAJ AUTO LIMITED        ,"10,406.45",34.75B,53.10%,Motorcycles & Scooters
WIPRO LIMITED        ,519.9,31.94B,10.22%,Other IT Services & Consulting
BAJAJ FINSERV LTD        ,"1,686.20",31.19B,0.02%,Other Consumer Lending
ADANI POWER LIMITED        ,661.3,31.1B,25.93%,Other Independent Power Producers
SIEMENS LIMITED        ,"7,043.05",29.84B,75.00%,Other Heavy Electrical Equipment
TRENT LIMITED         ,"6,924.50",29.48B,126.58%,Retail - Department Stores
NESTLE INDIA LIMITED        ,"2,519.05",29.1B,-5.28%,Other Food Processing
INDIAN RAILWAY FINANCE CO          ,181.05,28.6B,82.23%,Other Corporate Financial Services
INDIAN OIL CORPORATION LI        ,173.46,28.45B,33.58%,Other Oil & Gas Refining and Marketing
JSW STEEL LIMITED         ,963.1,2.73TCr,9.39%,"Iron, Steel Mills & Foundries"
ZOMATO LIMITED          ,259.39,2.72TCr,109.69%,Other Internet Services
BHARAT ELECTRONICS LIMITE         ,306.6,2.67TCr,66.54%,Other Aerospace & Defense
HINDUSTAN ZINC LIMITED         ,528.2,2.59TCr,66.10%,Integrated Mining
DLF LIMITED        ,848.8,2.51TCr,16.85%,Other Real Estate Development & Operations
JIO FINANCIAL SERVICES LI          ,327.15,2.48TCr,40.44%,Other Consumer Lending
VARUN BEVERAGES LIMITED         ,"1,576.00",2.45TCr,27.42%,Other Non-Alcoholic Beverages
TATA STEEL LIMITED        ,155.65,2.3TCr,11.58%,Other Steel
GRASIM INDUSTRIES LIMITED         ,"2,736.60",2.22TCr,28.19%,Other Construction Materials
INTERGLOBE AVIATION LIMIT         ,"4,720.10",2.17TCr,59.08%,Other Airlines
SBI LIFE INSURANCE COMPAN          ,"1,796.25",2.14TCr,25.38%,Life Insurance
VEDANTA LIMITED         ,463.1,2.09TCr,79.11%,Integrated Mining
POWER FINANCE CORPORATION        ,514.4,2.03TCr,34.45%,Other Corporate Financial Services
LTIMINDTREE LIMITED         ,"5,739.95",1.99TCr,-8.82%,Other IT Services & Consulting
ABB INDIA LIMITED         ,"7,790.95",1.97TCr,66.69%,Other Heavy Electrical Equipment
PIDILITE INDUSTRIES LIMIT        ,"3,108.65",1.87TCr,14.49%,Diversified Chemicals
HDFC LIFE INSURANCE COMPA          ,725.65,1.87TCr,12.21%,Life Insurance
AMBUJA CEMENTS        ,627.65,1.86TCr,20.48%,Other Construction Materials
REC LIMITED        ,589.85,1.84TCr,42.87%,Other Corporate Financial Services
BHARAT PETROLEUM CORPORAT        ,351.15,1.82TCr,55.84%,Other Oil & Gas Refining and Marketing
HINDALCO INDUSTRIES LIMIT        ,711.65,1.82TCr,15.73%,Other Aluminum
GAIL INDIA LIMITED        ,235.25,1.8TCr,45.13%,Other Natural Gas Utilities
GODREJ CONSUMER PRODUCTS         ,"1,454.75",1.74TCr,28.60%,Other Personal Products
TECH MAHINDRA LIMITED         ,"1,640.15",1.69TCr,28.88%,Other IT Services & Consulting
BRITANNIA INDUSTRIES LIMI          ,"5,796.95",1.66TCr,8.59%,"Cookie, Cracker & Pasta Manufacturing"
EICHER MOTORS LIMITED        ,"4,876.35",1.6TCr,17.70%,Motorcycles & Scooters
SAMVARDHANA MOTHERSON INT        ,197.75,1.6TCr,93.87%,"Other Auto, Truck & Motorcycle Parts"
TATA POWER COMPANY LIMITE         ,422.45,1.59TCr,27.22%,Other Electric Utilities
TVS MOTOR COMPANY LIMITED        ,"2,776.25",1.57TCr,37.11%,Motorcycles & Scooters
BANK OF BARODA         ,251.4,1.56TCr,8.78%,Other Banks
DIVI S LABORATORIES LIMIT        ,"4,926.25",1.54TCr,26.19%,Other Pharmaceuticals
PUNJAB NATIONAL BANK         ,116.16,1.53TCr,21.32%,Other Banks
ADANI ENERGY SOLUTIONS LI         ,"1,065.65",1.53TCr,1.90%,Other Electric Utilities
CIPLA LIMITED        ,"1,593.95",1.52TCr,27.89%,Generic Pharmaceuticals
JSW ENERGY LIMITED        ,715.4,1.46TCr,74.87%,Fossil Fuel IPPs
RAIL VIKAS NIGAM LIMITED         ,577.2,1.42TCr,217.93%,Railway Construction
ZYDUS LIFESCIENCES LIMITE         ,"1,108.45",1.42TCr,60.83%,Generic Pharmaceuticals
TATA CONSUMER PRODUCTS LI        ,"1,196.80",1.41TCr,10.12%,Coffee & Tea
HAVELLS INDIA LIMITED         ,"1,912.10",1.41TCr,39.78%,Other Electrical Components & Equipment
SHRIRAM FINANCE LIMITED        ,"3,160.55",1.4TCr,54.01%,Other Consumer Lending
INDIAN OVERSEAS BANK        ,61.28,14B,41.52%,Other Banks
INDUS TOWERS LIMITED         ,433.25,13.96B,117.66%,Telecommunications Network Infrastructure
DR REDDY S LABORATORIES L        ,"6,944.45",13.82B,19.78%,Other Pharmaceuticals
MACROTECH DEVELOPERS LIMI          ,"1,215.05",13.79B,18.71%,Other Real Estate Development & Operations
CG POWER AND INDUSTRIAL S        ,738.05,13.68B,62.42%,Other Heavy Electrical Equipment
DABUR INDIA LIMITED        ,654.55,13.6B,17.47%,Other Personal Products
CHOLAMANDALAM INVESTMENT         ,"1,394.55",13.53B,10.66%,Other Consumer Lending
TORRENT PHARMACEUTICALS L        ,"3,340.25",13.53B,44.91%,Other Pharmaceuticals
OIL INDIA LIMITED        ,702.35,13.23B,183.09%,Other Oil & Gas Exploration and Production
VODAFONE IDEA LIMITED        ,15.79,13.16B,-1.31%,Wireless Telecom
BAJAJ HOLDINGS INVESTMENT        ,"9,915.20",13.11B,29.25%,Other Holding Companies
INDUSLND BANK LIMITED        ,"1,384.50",12.9B,-13.41%,Other Banks
HERO MOTOCORP LTD        ,"5,343.30",12.85B,29.12%,Motorcycles & Scooters
SUZLON ENERGY LIMITED        ,76.4,12.83B,100.00%,Wind Systems & Equipment
IDBI BANK LIMITED        ,96.7,12.65B,43.47%,Commercial Banks
CUMMINS INDIA LIMITED        ,"3,859.25",12.64B,96.55%,Engine & Powertrain Systems
ICICI PRUDENTIAL LIFE INS         ,723.25,12.61B,35.22%,Life Insurance
ICICI LOMBARD GENERAL INS          ,"2,122.25",12.36B,49.44%,Other Multiline Insurance & Brokers
BHARAT HEAVY ELECTRICALS          ,297.25,12.3B,53.66%,Turbine Manufacturing
CANARA BANK        ,111.41,12.13B,27.33%,Other Banks
POLYCAB INDIA LIMITED         ,"6,754.15",12.12B,23.14%,Other Electrical Components & Equipment
UNITED SPIRITS LIMITED         ,"1,457.45",12.11B,30.39%,Distilleries
APOLLO HOSPITALS ENTERPRI        ,"6,780.00",11.77B,18.86%,"Hospitals, Clinics & Primary Care Services"
JINDAL STEEL POWER LIMITE        ,985.6,11.68B,31.75%,"Iron, Steel Mills & Foundries"
NHPC LIMITED        ,96.65,11.64B,49.61%,Hydroelectric & Tidal Utilities
UNION BANK OF INDIA        ,124.56,11.57B,4.58%,Other Banks
BOSCH LIMITED        ,"32,808.15",11.47B,47.86%,"Other Auto, Truck & Motorcycle Parts"
SOLAR INDUSTRIES INDIA LI         ,"10,522.50",11.47B,56.41%,Other Commodity Chemicals
COLGATE PALMOLIVE INDIA L        ,"3,594.80",11.46B,42.13%,Other Personal Products
LUPIN LIMITED         ,"2,116.75",11.39B,59.99%,Other Pharmaceuticals
INFO EDGE INDIA LIMITED        ,"7,498.90",11.39B,45.89%,Other Internet Services
ORACLE FINANCIAL SERVICES        ,"11,009.90",11.32B,161.22%,Application Software
MANKIND PHARMA LIMITED          ,"2,352.95",11.29B,18.69%,Other Pharmaceuticals
ADANI TOTAL GAS LIMITED          ,856.1,11.26B,-13.35%,Other Natural Gas Utilities
HDFC ASSET MANAGEMENT COM         ,"4,405.55",11.18B,37.46%,Investment Management
THE INDIAN HOTELS COMPANY        ,661.55,10.9B,50.97%,"Other Hotels, Motels & Cruise Lines"
AUROBINDO PHARMA        ,"1,547.85",10.75B,42.79%,Other Pharmaceuticals
SHREE CEMENT LIMITED        ,"24,906.45",10.64B,-13.08%,Cement & Concrete Manufacturing
MAZAGON DOCK SHIPBUILDERS          ,"4,307.50",10.62B,88.85%,Other Aerospace & Defense
MARICO LIMITED        ,689.6,10.47B,25.79%,Other Food Processing
HINDUSTAN PETROLEUM CORPO        ,405.05,10.3B,52.31%,Other Oil & Gas Refining and Marketing
MAX HEALTHCARE INSTITUTE           ,860.95,9.89B,25.21%,Other Healthcare Facilities & Services
TORRENT POWER LIMITED        ,"1,627.65",9.59B,74.29%,Other Electric Utilities
GODREJ PROPERTIES LIMITED         ,"2,887.70",9.57B,43.43%,Other Real Estate Development & Operations
DIXON TECHNOLOGIES INDIA           ,"13,393.45",9.47B,103.96%,Other Household Electronics
TUBE INVESTMENTS OF INDIA          ,"4,120.10",9.38B,16.33%,"Other Auto, Truck & Motorcycle Parts"
ASHOK LEYLAND LIMITED        ,260.15,9.12B,43.29%,Other Heavy Machinery & Vehicles
YES BANK LIMITED        ,24.08,9.12B,12.26%,Other Banks
MUTHOOT FINANCE LIMITED        ,"1,936.25",9.11B,31.16%,Other Consumer Lending
PB FINTECH LIMITED          ,"1,685.95",9.1B,112.16%,Financial Technology (Fintech) (NEC)
BHARAT FORGE LIMITED        ,"1,635.00",9B,31.98%,"Iron, Steel Mills & Foundries"
INDIAN RAILWAY CATERING T         ,931,8.81B,4.90%,"Other Passenger Transportation, Ground & Sea"
INDIAN BANK        ,547.1,8.81B,29.98%,Commercial Banks
SRF LIMITED        ,"2,540.35",8.81B,2.43%,Diversified Chemicals
PERSISTENT SYSTEMS LIMITE        ,"4,993.40",8.56B,35.15%,Other IT Services & Consulting
GENERAL INSURANCE CORPORA          ,407.5,8.53B,32.28%,Other Reinsurance
INDIAN RENEWABLE ENERGY D          ,260.3,8.35B,153.21%,Other Corporate Financial Services
THE SUPREME INDUSTRIES LI        ,"5,413.05",8.35B,19.15%,Plastics
ALKEM LABORATORIES LIMITE         ,"5,818.65",8.21B,11.84%,Other Pharmaceuticals
PATANJALI FOODS LIMITED          ,"1,889.65",8.2B,19.98%,Other Food Processing
GMR AIRPORTS INFRASTRUCTU        ,95.94,8.18B,19.11%,Other Airport Services
SBI CARDS AND PAYMENT SER          ,720.35,8.13B,-5.17%,Consumer Credit Cards Services
PRESTIGE ESTATES PROJECTS        ,"1,761.55",8.02B,49.42%,Other Real Estate Development & Operations
PI INDUSTRIES LIMITED         ,"4,403.85",8B,25.38%,Other Agricultural Chemicals
BERGER PAINTS INDIA LIMIT         ,572.3,7.87B,-5.32%,Paint & Coating
NMDC LIMITED         ,229,7.75B,9.39%,Iron Ore Mining
FSN E COMMERCE VENTURES L          ,219.52,7.73B,26.20%,Internet & Mail Order Department Stores
THE FERTILISERS AND CHEMI        ,972.85,7.67B,20.73%,Other Agricultural Chemicals
UNO MINDA LIMITED         ,"1,097.75",7.65B,59.89%,"Other Auto, Truck & Motorcycle Parts"
SCHAEFFLER INDIA LIMITED        ,"3,983.10",7.64B,24.39%,Ball & Roller Bearings
JSW INFRASTRUCTURE LIMITE          ,310.95,7.61B,49.28%,Other Marine Port Services
THE PHOENIX MILLS LIMITED        ,"3,610.60",7.6B,60.94%,Retail Real Estate Development
LINDE INDIA LIMITED         ,"7,295.85",7.43B,29.41%,Industrial Gas
UCO BANK        ,51.67,7.4B,29.99%,Commercial Banks
OBEROI REALTY LIMITED        ,"1,738.65",7.39B,20.46%,Other Real Estate Development & Operations
ABBOTT INDIA LIMITED         ,"28,994.80",7.35B,26.88%,Other Pharmaceuticals
KALYAN JEWELLERS INDIA LI          ,616.75,7.25B,74.17%,Jewelry & Watch Retailers
CONTAINER CORPORATION OF           ,992.8,7.2B,15.49%,Railway Freight Operators
JINDAL STAINLESS LIMITED        ,742.85,7.18B,29.85%,"Iron, Steel Mills & Foundries"
MRF LIMITED        ,"1,39,324.45",7.01B,7.52%,Tire & Tube Manufacturers
L T TECHNOLOGY SERVICES L         ,"5,513.05",6.9B,4.91%,Other Construction & Engineering
BHARTI HEXACOM LIMITED          ,"1,142.75",6.82B,0.00%,Wireless Telecom
ADITYA BIRLA CAPITAL LIMI          ,221.82,6.81B,33.31%,Life Insurance
HOUSING AND URBAN DEVELOP         ,278.4,6.79B,121.04%,Other Consumer Lending
MPHASIS LIMITED        ,"3,021.80",6.77B,10.27%,Other IT Services & Consulting
VOLTAS LIMITED        ,"1,721.05",6.67B,75.91%,"Heating, Ventilation & Air Conditioning Systems"
OLA ELECTRIC MOBILITY LIM          ,125.3,6.64B,0.00%,Electric (Alternative) Vehicles
IDFC FIRST BANK LIMITED         ,74.12,6.64B,-16.62%,Other Banks
PETRONET LNG LIMITED        ,370.1,6.64B,66.23%,LNG Transportation & Storage
PROCTER GAMBLE HYGIENE AN        ,"17,011.55",6.62B,-1.96%,Other Personal Products
BALKRISHNA INDUSTRIES LIM         ,"2,861.70",6.58B,11.43%,Tire & Tube Manufacturers
BANK OF INDIA LIMITED        ,117.57,6.55B,4.41%,Other Banks
COCHIN SHIPYARD LIMITED         ,"2,057.15",6.55B,203.87%,Other Shipbuilding
STEEL AUTHORITY OF INDIA         ,137.75,6.5B,11.40%,Other Steel
TATA COMMUNICATIONS LIMIT        ,"1,947.70",6.48B,10.02%,Other Integrated Telecommunications Services
UNITED BREWERIES LIMITED        ,"2,010.55",6.32B,12.68%,Other Brewers
SJVN LIMITED        ,133.62,6.27B,46.92%,Other Electric Utilities
ASTRAL LIMITED         ,"1,973.95",6.24B,3.48%,Plumbing Fixtures & Fittings
CENTRAL BANK OF INDIA        ,61.13,6.23B,22.02%,Other Banks
HITACHI ENERGY INDIA LIMI          ,"12,202.20",6.17B,131.79%,Smart Grid & Electrical Transmission
COROMANDEL INTERNATIONAL         ,"1,753.70",6.14B,40.11%,Fertilizer
THERMAX LIMITED        ,"4,435.65",6.02B,43.94%,Other Industrial Machinery & Equipment
GLAXOSMITHKLINE PHARMACEU        ,"2,905.35",5.95B,53.12%,Other Pharmaceuticals
KPIT TECHNOLOGIES LIMITED          ,"1,826.50",5.91B,20.65%,System Software
ADANI WILMAR LIMITED          ,376.95,5.85B,6.21%,Other Food Processing
THE FEDERAL BANK LIMITED         ,198.73,5.83B,27.27%,Other Banks
BHARAT DYNAMICS LIMITED         ,"1,311.60",5.75B,53.19%,Other Aerospace & Defense
GLENMARK PHARMACEUTICALS         ,"1,694.60",5.68B,98.44%,Generic Pharmaceuticals
SUNDARAM FINANCE LIMITED        ,"4,361.90",5.68B,24.33%,Other Consumer Lending
AU SMALL FINANCE BANK LIM         ,633.45,5.55B,-19.55%,Other Banks
PAGE INDUSTRIES LIMITED        ,"41,913.45",5.52B,8.83%,Other Apparel & Accessories
HONEYWELL AUTOMATION INDI        ,"52,126.95",5.52B,41.55%,Other Electronic Equipment & Parts
NIPPON LIFE INDIA ASSET M         ,707.4,5.34B,57.95%,Investment Management
TATA ELXSI LIMITED        ,"7,715.95",5.27B,-11.90%,Other Software
BANK OF MAHARASHTRA        ,61.76,5.26B,36.79%,Other Banks
GE T D INDIA LIMITED        ,"1,687.15",5.25B,235.18%,Other Heavy Electrical Equipment
ACC LTD        ,"2,343.30",5.21B,5.97%,Cement & Concrete Manufacturing
THE NEW INDIA ASSURANCE C          ,264.75,5.2B,25.86%,Other Multiline Insurance & Brokers
UPL LIMITED        ,577.4,5.14B,-1.72%,Other Agricultural Chemicals
ESCORTS KUBOTA LIMITED        ,"3,878.90",5.11B,30.03%,Agricultural Machinery
JUBILANT FOODWORKS LIMITE        ,656.9,5.1B,16.26%,Other Restaurants & Bars
EXIDE INDUSTRIES LIMITED        ,497.9,5.07B,56.60%,"Other Auto, Truck & Motorcycle Parts"
BIOCON LIMITED        ,353.25,5.02B,41.50%,Bio Therapeutic Drugs
TATA TECHNOLOGIES LIMITED          ,"1,036.95",5.02B,-12.13%,Integrated Hardware & Software
KEI INDUSTRIES LIMITED        ,"4,548.55",4.98B,39.83%,Wires & Cables
AIA ENGINEERING LIMITED        ,"4,450.25",4.98B,20.62%,Other Industrial Machinery & Equipment
MOTILAL OSWAL FINANCIAL S        ,760.1,4.97B,145.03%,Other Investment Banking & Brokerage Services
FORTIS HEALTHCARE LIMITED        ,543.3,4.97B,29.60%,"Hospitals, Clinics & Primary Care Services"
L T FINANCE LIMITED         ,169.02,4.94B,2.41%,Other Corporate Financial Services
PUNJAB SIND BANK         ,60.12,4.88B,39.33%,Commercial Banks
GUJARAT GAS LIMITED          ,599.45,4.88B,29.89%,Natural Gas Distribution
SONA BLW PRECISION FORGIN          ,715.7,4.87B,11.05%,"Other Auto, Truck & Motorcycle Parts"
LLOYDS METALS AND ENERGY          ,778.7,4.8B,29.96%,Other Steel
COFORGE LIMITED        ,"6,022.25",4.79B,-4.02%,Other IT Services & Consulting
    ONE WAM LIMITED          ,"1,084.95",4.71B,52.84%,Wealth Management
APL APOLLO TUBES LIMITED         ,"1,427.50",4.71B,-7.10%,"Iron, Steel Mills & Foundries"
 M INDIA LIMITED         ,"34,922.45",4.7B,-6.14%,Consumer Goods Conglomerates
IRB INFRASTRUCTURE DEVELO        ,65.81,4.66B,58.39%,Highway & Bridge Construction
AJANTA PHARMA LIMITED         ,"2,986.20",4.64B,43.32%,Generic Pharmaceuticals
DEEPAK NITRITE LIMITED         ,"2,817.70",4.59B,13.51%,Other Commodity Chemicals
NLC INDIA LIMITED        ,273.35,4.56B,7.89%,Other Independent Power Producers
MAHINDRA MAHINDRA FINANCI         ,315.35,4.49B,13.97%,Other Consumer Lending
BSE LIMITED         ,"2,727.65",4.49B,22.80%,Securities & Commodity Exchanges
LIC HOUSING FINANCE LIMIT        ,665.85,4.41B,24.20%,Retail & Mortgage Banks
INDRAPRASTHA GAS LIMITED          ,525.15,4.38B,25.53%,Other Natural Gas Utilities
MAX FINANCIAL SERVICES LI        ,"1,072.95",4.35B,12.43%,Other Life & Health Insurance
METRO BRANDS LIMITED          ,"1,340.10",4.35B,5.34%,Footwear Retailers
ENDURANCE TECHNOLOGIES LI         ,"2,535.00",4.33B,31.13%,"Other Auto, Truck & Motorcycle Parts"
APAR INDUSTRIES LIMITED        ,"8,992.15",4.29B,48.55%,Other Electrical Components & Equipment
BLUE STAR LIMITED        ,"1,690.85",4.23B,78.94%,"Heating, Ventilation & Air Conditioning Systems"
EMBASSY OFFICE PARKS REIT         ,373.34,4.22B,15.00%,Office REITs
ONE   COMMUNICATIONS LIMI          ,530.4,4.21B,-16.53%,Transaction & Payment Services
EMAMI LIMITED         ,816.95,4.21B,44.81%,Other Personal Products
STAR HEALTH AND ALLIED IN          ,602.05,4.2B,12.59%,Other Life & Health Insurance
GUJARAT FLUOROCHEMICALS L          ,"3,203.20",4.2B,-13.41%,Other Specialty Chemicals
IPCA LABORATORIES LIMITED        ,"1,392.80",4.2B,25.12%,Other Pharmaceuticals
J K CEMENT LIMITED        ,"4,444.15",4.05B,17.28%,Cement & Concrete Manufacturing
DALMIA BHARAT LIMITED         ,"1,814.90",4.04B,-20.23%,Cement & Concrete Manufacturing
SYNGENE INTERNATIONAL LIM         ,853.5,4.03B,21.68%,Other Biotechnology & Medical Research
GO DIGIT GENERAL INSURANC          ,369.4,4B,0.00%,Insurance Brokers
CRISIL LIMITED        ,"4,498.15",396.75Cr,3.72%,Rating Agencies
BRAINBEES SOLUTIONS LIMIT          ,625.95,395.62Cr,0.00%,Children & Infants Clothing Retailers
CENTRAL DEPOSITORY SERVIC         ,"1,539.10",391.14Cr,68.72%,"Clearing, Settlement & Custodial Service"
BANDHAN BANK LIMITED         ,200.06,387.74Cr,-17.13%,Commercial Banks
KAYNES TECHNOLOGY INDIA L          ,"4,999.50",385.51Cr,91.51%,Other Electronic Equipment & Parts
APOLLO TYRES LIMITED        ,502.45,385.41Cr,10.66%,Tire & Tube Manufacturers
ADITYA BIRLA FASHION AND          ,322.4,385.16Cr,44.12%,Other Apparel & Accessories Retailers
NBCC INDIA LIMITED         ,175.9,383.04Cr,115.70%,Other Construction & Engineering
CHOLAMANDALAM FINANCIAL H         ,"1,698.15",380.47Cr,63.28%,Other Consumer Lending
NATIONAL ALUMINIUM COMPAN        ,181.98,379.47Cr,37.92%,Other Aluminum
GODREJ INDUSTRIES LIMITED        ,951.55,377.45Cr,27.74%,Consumer Goods Conglomerates
DELHIVERY LIMITED          ,430.9,377.39Cr,10.70%,Freight Logistics
MOTHERSON SUMI WIRING IND          ,70.68,373.48Cr,14.46%,"Other Auto, Truck & Motorcycle Parts"
TATA INVESTMENT CORPORATI         ,"6,171.80",371.98Cr,44.10%,Other Investment Management & Fund Operators
POONAWALLA FINCORP LIMITE        ,406.45,369.41Cr,-6.68%,Other Consumer Lending
GLAND PHARMA LIMITED          ,"1,854.25",367.34Cr,-3.65%,Other Pharmaceuticals
HINDUSTAN COPPER LIMITED         ,329.8,364.55Cr,20.54%,Copper Ore Mining
K P R MILL LIMITED         ,869.1,363.41Cr,5.37%,Other Textiles & Leather Goods
SUN TV NETWORK LIMITED        ,792.15,361.76Cr,11.23%,Television Broadcasting
CARBORUNDUM UNIVERSAL LIM        ,"1,540.30",356.03Cr,38.34%,Other Commodity Chemicals
CROMPTON GREAVES CONSUMER         ,467.75,352.87Cr,50.45%,Other Household Electronics
ZF COMMERCIAL VEHICLE CON        ,"15,459.20",349.87Cr,-3.42%,"Other Auto, Truck & Motorcycle Parts"
HATSUN AGRO PRODUCT LIMIT         ,"1,301.00",349.8Cr,14.35%,Dairy Products
AUTHUM INVESTMENT INFRAST         ,"1,769.20",349.09Cr,79.05%,Other Investment Banking & Brokerage Services
J B CHEMICALS PHARMACEUTI        ,"1,901.10",348.97Cr,17.03%,Other Pharmaceuticals
BASF INDIA LIMITED        ,"6,669.80",346.23Cr,117.52%,Diversified Chemicals
GLOBAL HEALTH LIMITED          ,"1,075.35",344.57Cr,12.11%,"Hospitals, Clinics & Primary Care Services"
ITI LIMITED         ,297.2,343.84Cr,-2.37%,Phones & Smart Phones
JYOTI CNC AUTOMATION LIMI          ,"1,264.10",343.02Cr,0.00%,Other Computer Hardware
VEDANT FASHIONS LIMITED          ,"1,188.20",340.32Cr,-6.29%,Other Apparel & Accessories Retailers
INOX WIND LIMITED         ,225.91,340.19Cr,80.82%,Wind Systems & Equipment
TIMKEN INDIA LIMITED         ,"3,779.05",338.45Cr,16.17%,Ball & Roller Bearings
SUNDRAM FASTENERS LIMITED        ,"1,372.45",336.67Cr,9.89%,"Other Auto, Truck & Motorcycle Parts"
BAYER CROPSCIENCE LIMITED        ,"6,280.95",336.51Cr,13.51%,Other Agricultural Chemicals
GODFREY PHILLIPS INDIA LI         ,"5,689.65",335.33Cr,169.77%,Other Tobacco
AEGIS LOGISTICS LIMITED         ,773.3,334.08Cr,119.75%,LNG Transportation & Storage
AMARA RAJA ENERGY MOBILIT         ,"1,513.70",333.67Cr,85.41%,Batteries & Uninterruptable Power Supplies
NATCO PHARMA LIMITED         ,"1,563.90",332.99Cr,92.75%,Other Pharmaceuticals
GILLETTE INDIA LIMITED         ,"8,946.20",328.86Cr,37.96%,Sanitary Products
DR LAL PATHLABS LIMITED         ,"3,320.15",328.42Cr,28.80%,Medical & Diagnostic Laboratories
GRINDWELL NORTON LIMITED        ,"2,467.30",328.01Cr,6.08%,Other Industrial Machinery & Equipment
TATA CHEMICALS LIMITED        ,"1,072.75",325.88Cr,-2.80%,Diversified Chemicals
SUVEN PHARMACEUTICALS LIM          ,"1,071.15",325.35Cr,48.19%,Other Pharmaceuticals
TVS HOLDINGS LIMITED         ,"13,961.55",325.08Cr,79.95%,"Other Auto, Truck & Motorcycle Parts"
PFIZER LIMITED        ,"5,783.00",319.61Cr,35.47%,Other Pharmaceuticals
SUMITOMO CHEMICAL INDIA L          ,532.45,317.11Cr,31.78%,Other Agricultural Chemicals
CASTROL INDIA LIMITED         ,263.35,314.17Cr,46.47%,Other Oil & Gas Refining and Marketing
CENTURY TEXTILES AND INDU        ,"2,376.95",313.14Cr,94.58%,Other Paper Products
ICICI SECURITIES LIMITED         ,808.25,312.87Cr,12.57%,Investment Banking
EMCURE PHARMACEUTICALS LI          ,"1,385.20",312.46Cr,0.00%,Other Pharmaceuticals
BRIGADE ENTERPRISES LIMIT        ,"1,153.55",312Cr,28.39%,Residential Real Estate Development
HIMADRI SPECIALITY CHEMIC         ,526.55,310.38Cr,70.18%,Other Specialty Chemicals
SKF INDIA LIMITED        ,"5,270.50",310.17Cr,14.51%,Other Industrial Machinery & Equipment
NARAYANA HRUDAYALAYA LIMI         ,"1,280.25",306.41Cr,6.51%,"Hospitals, Clinics & Primary Care Services"
KIOCL LIMITED         ,414.15,303Cr,12.49%,"Iron, Steel Mills & Foundries"
CESC LIMITED          ,188.72,300.83Cr,42.43%,Other Electric Utilities
IRCON INTERNATIONAL LIMIT         ,264.6,298.06Cr,54.38%,Other Construction & Engineering
MULTI COMMODITY EXCHANGE          ,"4,881.35",295.62Cr,52.55%,Securities & Commodity Exchanges
PIRAMAL PHARMA LIMITED          ,187.23,295.14Cr,34.84%,Other Pharmaceuticals
