Name,Stock Price,Market cap,Percentage change,Industry
HT MEDIA LIMITED        ,25.75,71.46M,1.18%,Newspaper Publishing
NUPUR RECYCLERS LIMITED          ,87.24,71.19M,45.56%,"Waste Management, Disposal & Recycling Services"
AERPACE INDUSTRIES LIMITE         ,41.7,70.85M,734.00%,Specialized Aviation Services
ACCENT MICROCELL LIMITED          ,277.35,70.64M,-5.15%,Other Pharmaceuticals
VIKRAM THERMO INDIA LIMIT         ,186.2,70.58M,18.56%,Other Pharmaceuticals
NIKHIL ADHESIVES LIMITED         ,128.65,70.3M,1.98%,Other Specialty Chemicals
SWISS MILITARY CONSUMER G         ,30.92,70.16M,60.29%,Consumer Electronics Retailers
BHARAT SEATS LIMITED         ,210.95,69.93M,26.73%,"Other Auto, Truck & Motorcycle Parts"
WORTH INVESTMENT TRADING          ,41.48,69.91M,226.46%,Other Investment Management & Fund Operators
K C P SUGAR AND INDUSTRIE         ,50.79,69.88M,43.27%,Sugar & Artificial Sweeteners
TRUCAP FINANCE LIMITED          ,49.15,69.42M,-36.47%,Other Consumer Lending
PRECOT LIMITED        ,485.7,69.36M,77.46%,Yarn Goods
NATIONAL PEROXIDE LIMITED          ,"1,053.80",68.82M,0.00%,Other Commodity Chemicals
BHARTIYA INTERNATIONAL LT         ,466.95,68.64M,36.44%,Handbags & Luggage
KRONOX LAB SCIENCES LIMIT          ,156.81,68.5M,0.00%,Other Specialty Chemicals
RUDRA GLOBAL INFRA PRODUC         ,58.28,68.44M,73.40%,"Iron, Steel Mills & Foundries"
PROVENTUS AGROCOM LIMITED          ,"1,672.10",68.38M,67.21%,Health Food Stores
JOST S ENGINEERING COMPAN         ,"1,236.40",68.37M,96.60%,Other Industrial Machinery & Equipment
SINCLAIRS HOTELS LIMITED         ,109.95,68.1M,5.24%,"Other Hotels, Motels & Cruise Lines"
SYNERGY GREEN INDUSTRIES           ,410.75,68.07M,30.13%,"Iron, Steel Mills & Foundries"
DIAMINES AND CHEMICALS LI         ,575.05,68.05M,3.97%,Other Commodity Chemicals
STARLINEPS ENTERPRISES LI         ,125.05,67.88M,-0.08%,Jewelry
BIRLA PRECISION TECHNOLOG         ,85.64,67.45M,64.57%,Machine Tools
ANJANI PORTLAND CEMENT LI         ,190.1,67.43M,-10.56%,Cement & Concrete Manufacturing
ZIM LABORATORIES LIMITED         ,113.5,67.32M,-1.52%,Generic Pharmaceuticals
SURAJ LIMITED         ,318.8,67.07M,77.36%,"Iron, Steel Mills & Foundries"
MUTHOOT CAPITAL SERVICES          ,336.2,67.04M,-10.25%,Other Consumer Lending
MEGHNA INFRACON INFRASTRU         ,518.65,66.64M,135.32%,Residential Builders - Multifamily Homes
ORIENT BELL LIMITED        ,374.85,66.5M,-7.84%,Flooring & Interior Tile Manufacturers
BALAXI PHARMACEUTICALS LI         ,107.06,66.43M,23.81%,Pharmaceuticals Wholesale
KOTHARI PRODUCTS LIMITED         ,182,66.18M,44.67%,Diversified Industrial Goods Wholesale
UNITED DRILLING TOOLS LIM         ,265.45,66.01M,-1.69%,Oil Related Equipment
IFB AGRO INDUSTRIES LIMIT        ,610.6,65.8M,23.92%,Other Distillers & Wineries
TRITON VALVES LIMITED         ,"4,565.95",65.77M,209.65%,"Other Auto, Truck & Motorcycle Parts"
INTERNATIONAL TRAVEL HOUS        ,670,65.75M,43.42%,Other Leisure & Recreation
INDO US BIO TECH LIMITED          ,274.75,65.74M,15.20%,Other Biotechnology & Medical Research
MODI S NAVNIRMAN LIMITED          ,280,65.45M,69.70%,Residential Builders - Multifamily Homes
KILITCH DRUGS INDIA LIMIT         ,341.85,65.39M,-8.04%,Other Pharmaceuticals
HCL INFOSYSTEMS LIMITED        ,16.69,65.36M,-17.78%,Other Communications & Networking
GOODRICKE GROUP LIMITED        ,250.05,65.32M,26.96%,Coffee & Tea
SOFTSOL INDIA LIMITED         ,360.1,65.13M,27.00%,Other Software
LYKA LABS LIMITED        ,153.01,65.02M,23.64%,Other Pharmaceuticals
VINSYS IT SERVICES INDIA           ,363.5,64.93M,35.63%,Other IT Services & Consulting
NAHAR CAPITAL AND FINANCI        ,324.6,64.83M,6.11%,Commercial Loans
AARTI SURFACTANTS LIMITED          ,640.4,64.77M,-15.04%,Other Specialty Chemicals
GEEKAY WIRES LIMITED         ,106.7,64.75M,17.25%,Wires & Cables
MANOMAY TEX INDIA LIMITED         ,289.35,64.39M,89.43%,Other Textiles & Leather Goods
BELLA CASA FASHION RETAIL         ,487.9,64.33M,166.83%,Other Home Furnishings
BARTRONICS INDIA LIMITED          ,17.6,63.96M,3.53%,Other IT Services & Consulting
KIRAN VYAPAR LIMITED         ,196.3,63.68M,32.81%,Other Corporate Financial Services
IRIS CLOTHINGS LIMITED         ,66.43,63.47M,-18.14%,Children & Infants Clothing
PHANTOM DIGITAL EFFECTS L          ,387.45,63.38M,-10.77%,Other Entertainment Production
INTERNATIONAL CONVEYORS L         ,86.58,63.27M,-5.12%,Other Heavy Electrical Equipment
MUSIC BROADCAST LIMITED          ,103.05,63.23M,502.63%,Radio Broadcasting
TAYLORMADE RENEWABLES LIM          ,471.25,62.96M,-32.17%,Other Semiconductors
KANORIA CHEMICALS INDUSTR        ,122.7,62.84M,-8.67%,Electronic Component
ELGI RUBBER COMPANY LIMIT        ,107.24,62.79M,85.38%,Other Tires & Rubber Products
AUTOLINE INDUSTRIES LIMIT        ,135.64,62.61M,3.86%,"Other Auto, Truck & Motorcycle Parts"
MODISON LIMITED        ,157.25,62.57M,12.89%,Switchgear
SUNITA TOOLS LIMITED          ,752.35,62.46M,216.98%,Other Industrial Machinery & Equipment
INDUSTRIAL INVESTMENT TRU         ,230,62.42M,23.69%,Other Investment Management & Fund Operators
DC INFOTECH AND COMMUNICA         ,400.7,62.14M,127.22%,Other Communications & Networking
SHREE KARNI FABCOM LIMITE          ,735,62.02M,0.00%,Other Textiles & Leather Goods
PAVNA INDUSTRIES LIMITED          ,431.15,61.96M,5.09%,"Other Auto, Truck & Motorcycle Parts"
ALMONDZ GLOBAL SECURITIES         ,30.36,61.92M,107.14%,Other Investment Banking & Brokerage Services
MEDICAMEN BIOTECH LIMITED         ,407.2,61.91M,-32.41%,Generic Pharmaceuticals
SHALIBHADRA FINANCE LIMIT         ,769.2,61.72M,74.03%,Other Consumer Lending
TIGER LOGISTICS INDIA LIM         ,50.86,61.56M,-28.50%,Integrated Logistics Operators
TIERRA AGROTECH LIMITED          ,78.65,61.47M,-10.28%,Cotton Farming
ADDICTIVE LEARNING TECHNO          ,386.3,61.43M,0.00%,Professional & Business Education
FROG CELLSAT LIMITED          ,336.75,61.36M,93.48%,Other Communications & Networking
IRIS BUSINESS SERVICES LI         ,251.75,61.21M,95.23%,Other Software
UFO MOVIEZ INDIA LIMITED         ,132.4,61.21M,18.21%,"Movie, TV Production & Distribution"
BANSWARA SYNTEX LIMITED         ,149.3,61.12M,1.29%,Other Textiles & Leather Goods
MAZDA LIMITED         ,"1,272.20",61.08M,-2.85%,Other Industrial Machinery & Equipment
U Y FINCORP LIMITED         ,26.77,61.08M,-4.67%,Other Corporate Financial Services
MADHAV INFRA PROJECTS LIM          ,19.9,60.99M,68.64%,Other Construction & Engineering
THIRDWAVE FINANCIAL INTER         ,149.75,60.96M,287.85%,Food Wholesale
SUPER SALES INDIA LIMITED         ,"1,664.90",60.61M,38.77%,Yarn Goods
TBI CORN LIMITED          ,268.5,60.45M,0.00%,Other Food Processing
AIRAN LIMITED         ,39.98,60.35M,45.65%,Other IT Services & Consulting
JAYKAY ENTERPRISES LIMITE         ,86.02,60.3M,-28.45%,Other Financial & Commodity Market Operators
FLORENCE INVESTECH LTD         ,"1,275.60",60.27M,-.--%,Investment Trusts
VALIANT COMMUNICATIONS LI         ,661.5,60.2M,104.45%,VOIP Equipment & Systems
KRITIKA WIRES LIMITED         ,18.99,60.11M,68.80%,Other Steel
VARDHMAN ACRYLICS LIMITED        ,62.17,60.04M,4.75%,Synthetic Fabrics
DHABRIYA POLYWOOD LIMITED         ,460.55,59.89M,25.30%,Doors & Window Frames
VADILAL ENTERPRISES LIMIT         ,"5,681.60",59.87M,67.13%,Food Wholesale
JET AIRWAYS INDIA LIMITED        ,44.87,59.84M,-22.10%,Other Airlines
PRATHAM EPC PROJECTS LIMI          ,283.85,59.68M,0.00%,Gas Construction
PRADEEP METALS LIMITED         ,298.8,5.96Cr,45.65%,"Iron, Steel Mills & Foundries"
ORBIT EXPORTS LIMITED         ,191.2,5.95Cr,8.27%,Other Textiles & Leather Goods
RUBFILA INTERNATIONAL LIM          ,91.77,5.94Cr,0.00%,Other Tires & Rubber Products
S S POWER SWITCHGEAR LIMI         ,393.1,5.91Cr,123.23%,Other Electrical Components & Equipment
AKME FINTRADE INDIA LIMIT          ,115.84,5.9Cr,0.00%,Other Consumer Lending
IL FS ENGINEERING AND CON        ,38.45,5.9Cr,23.63%,Other Construction & Engineering
QUINT DIGITAL LIMITED          ,108.67,5.89Cr,-26.62%,Content & Site Management Services
XTGLOBAL INFOTECH LIMITED         ,37.54,5.89Cr,-19.77%,Other IT Services & Consulting
SRG HOUSING FINANCE LIMIT         ,364.8,5.89Cr,31.15%,Retail & Mortgage Banks
COMFORT INTECH LIMITED         ,15.27,5.88Cr,62.79%,Diversified Industrial Goods Wholesale
CREATIVE GRAPHICS SOLUTIO          ,212.45,5.88Cr,0.00%,Other Commercial Printing Services
TITAN BIOTECH LIMITED         ,591.15,5.87Cr,44.32%,Other Pharmaceuticals
ADOR FONTECH LIMITED         ,140.25,5.87Cr,-0.50%,Other Industrial Machinery & Equipment
